,cascade_root_id,cascade_id,time_bucket,depth,size,max_breadth,virality,strongly_cc,size_of_scc,density,layer_ratio,structural_heterogeneity,characteristic_distance,veracity
687,3992864.0,83276.0,4034735.0,3.0,25.0,13.0,0.115,25.0,25.0,0.04,1.3846153846153846,1.559023911155809,2.319838039704345,1.0
476,3984725.0,83065.0,4034735.0,2.0,78.0,74.0,0.0141525141525141,78.0,78.0,0.0128205128205128,1.054054054054054,4.221298669334604,0.6714987277423136,1.0
58682,683633.0,58682.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
63966,698992.0,63966.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
1018,3999536.0,83607.0,4034735.0,3.0,8.0,6.0,0.25,8.0,8.0,0.125,1.1666666666666667,1.2453996981544784,1.4464097504399285,1.0
61367,690907.0,61367.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
81360,1064983.0,81360.0,4034725.0,4.0,284.0,192.0,0.0067063156323097,284.0,284.0,0.0035211267605633,1.375,5.741748293270275,0.8368408025035509,0.0
74026,755052.0,74026.0,4034725.0,2.0,8.0,5.0,0.2321428571428571,8.0,8.0,0.125,1.6,1.2453996981544784,2.045327785354235,0.0
75066,765854.0,75066.0,4034725.0,2.0,12.0,11.0,0.0984848484848484,12.0,12.0,0.0833333333333333,1.0909090909090908,1.681203818991539,0.8062765874468045,0.0
71490,737001.0,71490.0,4034725.0,1.0,11.0,11.0,0.0909090909090909,11.0,11.0,0.0909090909090909,1.0,1.7392527130926088,10.408661735720557,0.0
51124,667679.0,51124.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
66519,709693.0,66519.0,4034725.0,1.0,5.0,5.0,0.2,5.0,5.0,0.2,1.0,1.25,4.445556177931239,0.0
65296,704359.0,65296.0,4034725.0,1.0,4.0,4.0,0.25,4.0,4.0,0.25,1.0,1.1547005383792517,3.4973316197244064,0.0
66644,710332.0,66644.0,4034725.0,1.0,5.0,5.0,0.2,5.0,5.0,0.2,1.0,1.25,4.445556177931239,0.0
72080,740942.0,72080.0,4034725.0,2.0,5.0,4.0,0.3,5.0,5.0,0.2,1.25,1.118033988749895,1.2430425572334347,0.0
5091,4019990.0,87680.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
72299,742060.0,72299.0,4034725.0,2.0,5.0,4.0,0.3,5.0,5.0,0.2,1.25,1.118033988749895,1.2430425572334347,0.0
76299,781585.0,76299.0,4034725.0,2.0,19.0,18.0,0.0584795321637426,19.0,19.0,0.0526315789473684,1.0555555555555556,2.131842650483321,0.6764542042769047,0.0
5879,4021653.0,88468.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
55255,676399.0,55255.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
53651,673013.0,53651.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
52195,669939.0,52195.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
4664,4019089.0,87253.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
60109,686994.0,60109.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
58759,683795.0,58759.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
56456,678934.0,56456.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
54584,674982.0,54584.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
53554,672808.0,53554.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
79965,884422.0,79965.0,4034725.0,3.0,73.0,48.0,0.0260654490106544,73.0,73.0,0.0136986301369863,1.4166666666666667,2.9440349558026067,1.104600326150506,0.0
51210,667861.0,51210.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
73009,746745.0,73009.0,4034725.0,2.0,6.0,4.0,0.3,6.0,6.0,0.1666666666666666,1.5,1.1489125293076057,1.8200766577462637,0.0
54166,674100.0,54166.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
5603,4021071.0,88192.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
77146,793627.0,77146.0,4034725.0,2.0,24.0,21.0,0.0525362318840579,24.0,24.0,0.0416666666666666,1.1428571428571428,2.213551662844844,0.96188760306485,0.0
67913,717240.0,67913.0,4034725.0,1.0,6.0,6.0,0.1666666666666666,6.0,6.0,0.1666666666666666,1.0,1.3416407864998738,5.540522967544619,0.0
64348,700462.0,64348.0,4034725.0,1.0,4.0,4.0,0.25,4.0,4.0,0.25,1.0,1.1547005383792517,3.4973316197244064,0.0
4677,4019116.0,87266.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
62695,695038.0,62695.0,4034725.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,0.0
71433,736417.0,71433.0,4034725.0,2.0,4.0,3.0,0.4166666666666667,4.0,4.0,0.25,1.3333333333333333,1.0540925533894598,1.4409334564364835,0.0
72660,744606.0,72660.0,4034725.0,2.0,6.0,5.0,0.2333333333333333,6.0,6.0,0.1666666666666666,1.2,1.2,1.1272434476690016,0.0
59663,685704.0,59663.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
76922,790152.0,76922.0,4034725.0,1.0,31.0,31.0,0.032258064516129,31.0,31.0,0.032258064516129,1.0,2.8298998804433584,31.247335747516946,0.0
1624,4006739.0,84213.0,4034735.0,2.0,8.0,7.0,0.1607142857142857,8.0,8.0,0.125,1.1428571428571428,1.3702375780893483,0.958116213023496,1.0
70998,734627.0,70998.0,4034725.0,2.0,4.0,3.0,0.4166666666666667,4.0,4.0,0.25,1.3333333333333333,1.0540925533894598,1.4409334564364835,0.0
5416,4020677.0,88005.0,4034735.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,1.0
75930,776923.0,75930.0,4034725.0,3.0,5.0,2.0,0.65,5.0,5.0,0.2,2.0,1.118033988749895,1.93103393296264,0.0
70065,729099.0,70065.0,4034725.0,2.0,3.0,2.0,0.6666666666666666,3.0,3.0,0.3333333333333333,1.5,1.0606601717798214,1.8197849361681229,0.0
3142,4015267.0,85731.0,4034735.0,1.0,3.0,3.0,0.3333333333333333,3.0,3.0,0.3333333333333333,1.0,1.0606601717798214,2.466303425947148,1.0
1937,4008939.0,84526.0,4034735.0,2.0,5.0,4.0,0.3,5.0,5.0,0.2,1.25,1.118033988749895,1.2430425572334347,1.0
76220,780429.0,76220.0,4034725.0,2.0,17.0,13.0,0.088235294117647,17.0,17.0,0.0588235294117647,1.3076923076923077,1.709349291397168,1.381838475317357,0.0
57520,681181.0,57520.0,4034725.0,1.0,2.0,2.0,0.5,2.0,2.0,0.5,1.0,1.0,1.43957893271737,0.0
65310,704418.0,65310.0,4034725.0,1.0,4.0,4.0,0.25,4.0,4.0,0.25,1.0,1.1547005383792517,3.4973316197244064,0.0
