,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_dual,param_fit_intercept,param_max_iter,param_n_jobs,param_penalty,param_solver,params,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score,split0_test_precision_0,split1_test_precision_0,split2_test_precision_0,split3_test_precision_0,split4_test_precision_0,mean_test_precision_0,std_test_precision_0,rank_test_precision_0,split0_test_precision_1,split1_test_precision_1,split2_test_precision_1,split3_test_precision_1,split4_test_precision_1,mean_test_precision_1,std_test_precision_1,rank_test_precision_1,split0_test_recall_0,split1_test_recall_0,split2_test_recall_0,split3_test_recall_0,split4_test_recall_0,mean_test_recall_0,std_test_recall_0,rank_test_recall_0,split0_test_recall_1,split1_test_recall_1,split2_test_recall_1,split3_test_recall_1,split4_test_recall_1,mean_test_recall_1,std_test_recall_1,rank_test_recall_1,split0_test_fbeta_score,split1_test_fbeta_score,split2_test_fbeta_score,split3_test_fbeta_score,split4_test_fbeta_score,mean_test_fbeta_score,std_test_fbeta_score,rank_test_fbeta_score,split0_test_balanced_accuracy_score,split1_test_balanced_accuracy_score,split2_test_balanced_accuracy_score,split3_test_balanced_accuracy_score,split4_test_balanced_accuracy_score,mean_test_balanced_accuracy_score,std_test_balanced_accuracy_score,rank_test_balanced_accuracy_score,split0_test_average_precision_score,split1_test_average_precision_score,split2_test_average_precision_score,split3_test_average_precision_score,split4_test_average_precision_score,mean_test_average_precision_score,std_test_average_precision_score,rank_test_average_precision_score,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
156,0.0939753532409668,0.03763437468813002,0.06012482643127441,0.0077775030640812575,3,False,True,500,-1,l2,newton-cg,"{'C': 3, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9222222222222223,0.9733333333333334,0.9822222222222222,0.9777777777777777,0.9711111111111111,0.9653333333333334,0.021890862855155093,1,0.8991596638655462,1.0,1.0,1.0,1.0,0.9798319327731093,0.0403361344537815,55,0.9481132075471698,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9531940983954819,0.007418427098850146,1,0.9511111111111111,0.9466666666666667,0.9644444444444444,0.9555555555555556,0.9422222222222222,0.952,0.007646511348482348,1,0.8933333333333333,1.0,1.0,1.0,1.0,0.9786666666666667,0.04266666666666668,55,0.9366262814538676,0.959079283887468,0.9723422644770959,0.9656652360515021,0.9558198810535259,0.957906589384692,0.012059571992079663,1,0.9222222222222223,0.9733333333333334,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9653333333333333,0.0218908628551551,1,0.900314465408805,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9436343499678088,0.02275373150099111,1,0.9222222222222222,0.9733333333333333,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9653333333333333,0.021890862855155138,1
157,0.14342470169067384,0.03796126285984175,0.091892671585083,0.036245244889471166,3,False,True,500,-1,l2,newton-cholesky,"{'C': 3, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.9222222222222223,0.9733333333333334,0.9822222222222222,0.9777777777777777,0.9711111111111111,0.9653333333333334,0.021890862855155093,1,0.8991596638655462,1.0,1.0,1.0,1.0,0.9798319327731093,0.0403361344537815,55,0.9481132075471698,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9531940983954819,0.007418427098850146,1,0.9511111111111111,0.9466666666666667,0.9644444444444444,0.9555555555555556,0.9422222222222222,0.952,0.007646511348482348,1,0.8933333333333333,1.0,1.0,1.0,1.0,0.9786666666666667,0.04266666666666668,55,0.9366262814538676,0.959079283887468,0.9723422644770959,0.9656652360515021,0.9558198810535259,0.957906589384692,0.012059571992079663,1,0.9222222222222223,0.9733333333333334,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9653333333333333,0.0218908628551551,1,0.900314465408805,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9436343499678088,0.02275373150099111,1,0.9222222222222222,0.9733333333333333,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9653333333333333,0.021890862855155138,1
158,0.13730926513671876,0.032050032258376354,0.05868639945983887,0.007896962908436968,3,False,True,500,-1,l2,sag,"{'C': 3, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",0.9222222222222223,0.9733333333333334,0.9822222222222222,0.9777777777777777,0.9711111111111111,0.9653333333333334,0.021890862855155093,1,0.8991596638655462,1.0,1.0,1.0,1.0,0.9798319327731093,0.0403361344537815,55,0.9481132075471698,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9531940983954819,0.007418427098850146,1,0.9511111111111111,0.9466666666666667,0.9644444444444444,0.9555555555555556,0.9422222222222222,0.952,0.007646511348482348,1,0.8933333333333333,1.0,1.0,1.0,1.0,0.9786666666666667,0.04266666666666668,55,0.9366262814538676,0.959079283887468,0.9723422644770959,0.9656652360515021,0.9558198810535259,0.957906589384692,0.012059571992079663,1,0.9222222222222223,0.9733333333333334,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9653333333333333,0.0218908628551551,1,0.900314465408805,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9436343499678088,0.02275373150099111,1,0.9222222222222222,0.9733333333333333,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9653333333333333,0.021890862855155138,1
216,0.12285046577453614,0.03725378489538375,0.06153407096862793,0.009258525832680003,4,False,True,500,-1,l2,newton-cg,"{'C': 4, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9222222222222223,0.9733333333333334,0.9822222222222222,0.9777777777777777,0.9711111111111111,0.9653333333333334,0.021890862855155093,1,0.8991596638655462,1.0,1.0,1.0,1.0,0.9798319327731093,0.0403361344537815,55,0.9481132075471698,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9531940983954819,0.007418427098850146,1,0.9511111111111111,0.9466666666666667,0.9644444444444444,0.9555555555555556,0.9422222222222222,0.952,0.007646511348482348,1,0.8933333333333333,1.0,1.0,1.0,1.0,0.9786666666666667,0.04266666666666668,55,0.9366262814538676,0.959079283887468,0.9723422644770959,0.9656652360515021,0.9558198810535259,0.957906589384692,0.012059571992079663,1,0.9222222222222223,0.9733333333333334,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9653333333333333,0.0218908628551551,1,0.900314465408805,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9436343499678088,0.02275373150099111,1,0.9222222222222222,0.9733333333333333,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9653333333333333,0.021890862855155138,1
459,0.3288933753967285,0.06423026333681654,0.08517169952392578,0.01329052986863051,8,False,True,500,-1,l2,saga,"{'C': 8, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'saga'}",0.92,0.9733333333333334,0.9822222222222222,0.9777777777777777,0.9711111111111111,0.9648888888888889,0.022766663955316777,5,0.895397489539749,1.0,1.0,1.0,1.0,0.9790794979079498,0.04184100418410041,71,0.9478672985781991,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9531449166016877,0.007452684795984724,5,0.9511111111111111,0.9466666666666667,0.9644444444444444,0.9555555555555556,0.9422222222222222,0.952,0.007646511348482348,1,0.8888888888888888,1.0,1.0,1.0,1.0,0.9777777777777779,0.04444444444444447,71,0.9354536950420954,0.959079283887468,0.9723422644770959,0.9656652360515021,0.9558198810535259,0.9576720721023376,0.012475354504872757,5,0.9199999999999999,0.9733333333333334,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316832,5,0.8981042654028436,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9431923099666166,0.023596867129219386,5,0.92,0.9733333333333333,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316777,5
277,0.10947704315185547,0.040232632949519585,0.06671829223632812,0.015630308708878424,5,False,True,500,-1,l2,newton-cholesky,"{'C': 5, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.92,0.9733333333333334,0.9822222222222222,0.9777777777777777,0.9711111111111111,0.9648888888888889,0.022766663955316777,5,0.895397489539749,1.0,1.0,1.0,1.0,0.9790794979079498,0.04184100418410041,71,0.9478672985781991,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9531449166016877,0.007452684795984724,5,0.9511111111111111,0.9466666666666667,0.9644444444444444,0.9555555555555556,0.9422222222222222,0.952,0.007646511348482348,1,0.8888888888888888,1.0,1.0,1.0,1.0,0.9777777777777779,0.04444444444444447,71,0.9354536950420954,0.959079283887468,0.9723422644770959,0.9656652360515021,0.9558198810535259,0.9576720721023376,0.012475354504872757,5,0.9199999999999999,0.9733333333333334,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316832,5,0.8981042654028436,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9431923099666166,0.023596867129219386,5,0.92,0.9733333333333333,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316777,5
276,0.11291861534118652,0.03306593090392006,0.06594557762145996,0.018337178718938373,5,False,True,500,-1,l2,newton-cg,"{'C': 5, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.92,0.9733333333333334,0.9822222222222222,0.9777777777777777,0.9711111111111111,0.9648888888888889,0.022766663955316777,5,0.895397489539749,1.0,1.0,1.0,1.0,0.9790794979079498,0.04184100418410041,71,0.9478672985781991,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9531449166016877,0.007452684795984724,5,0.9511111111111111,0.9466666666666667,0.9644444444444444,0.9555555555555556,0.9422222222222222,0.952,0.007646511348482348,1,0.8888888888888888,1.0,1.0,1.0,1.0,0.9777777777777779,0.04444444444444447,71,0.9354536950420954,0.959079283887468,0.9723422644770959,0.9656652360515021,0.9558198810535259,0.9576720721023376,0.012475354504872757,5,0.9199999999999999,0.9733333333333334,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316832,5,0.8981042654028436,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9431923099666166,0.023596867129219386,5,0.92,0.9733333333333333,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316777,5
275,0.11205897331237794,0.027985806511133794,0.06759824752807617,0.011491902671798988,5,False,True,500,-1,l2,lbfgs,"{'C': 5, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.92,0.9733333333333334,0.9822222222222222,0.9777777777777777,0.9711111111111111,0.9648888888888889,0.022766663955316777,5,0.895397489539749,1.0,1.0,1.0,1.0,0.9790794979079498,0.04184100418410041,71,0.9478672985781991,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9531449166016877,0.007452684795984724,5,0.9511111111111111,0.9466666666666667,0.9644444444444444,0.9555555555555556,0.9422222222222222,0.952,0.007646511348482348,1,0.8888888888888888,1.0,1.0,1.0,1.0,0.9777777777777779,0.04444444444444447,71,0.9354536950420954,0.959079283887468,0.9723422644770959,0.9656652360515021,0.9558198810535259,0.9576720721023376,0.012475354504872757,5,0.9199999999999999,0.9733333333333334,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316832,5,0.8981042654028436,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9431923099666166,0.023596867129219386,5,0.92,0.9733333333333333,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316777,5
274,0.26498870849609374,0.07365863547983868,0.0650031566619873,0.022442378981053432,5,False,True,500,-1,l1,saga,"{'C': 5, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'saga'}",0.92,0.9733333333333334,0.9822222222222222,0.9777777777777777,0.9711111111111111,0.9648888888888889,0.022766663955316777,5,0.895397489539749,1.0,1.0,1.0,1.0,0.9790794979079498,0.04184100418410041,71,0.9478672985781991,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9531449166016877,0.007452684795984724,5,0.9511111111111111,0.9466666666666667,0.9644444444444444,0.9555555555555556,0.9422222222222222,0.952,0.007646511348482348,1,0.8888888888888888,1.0,1.0,1.0,1.0,0.9777777777777779,0.04444444444444447,71,0.9354536950420954,0.959079283887468,0.9723422644770959,0.9656652360515021,0.9558198810535259,0.9576720721023376,0.012475354504872757,5,0.9199999999999999,0.9733333333333334,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316832,5,0.8981042654028436,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9431923099666166,0.023596867129219386,5,0.92,0.9733333333333333,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316777,5
214,0.2815230846405029,0.10051895646362984,0.06192107200622558,0.010253753852784986,4,False,True,500,-1,l1,saga,"{'C': 4, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'saga'}",0.92,0.9733333333333334,0.9822222222222222,0.9777777777777777,0.9711111111111111,0.9648888888888889,0.022766663955316777,5,0.895397489539749,1.0,1.0,1.0,1.0,0.9790794979079498,0.04184100418410041,71,0.9478672985781991,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9531449166016877,0.007452684795984724,5,0.9511111111111111,0.9466666666666667,0.9644444444444444,0.9555555555555556,0.9422222222222222,0.952,0.007646511348482348,1,0.8888888888888888,1.0,1.0,1.0,1.0,0.9777777777777779,0.04444444444444447,71,0.9354536950420954,0.959079283887468,0.9723422644770959,0.9656652360515021,0.9558198810535259,0.9576720721023376,0.012475354504872757,5,0.9199999999999999,0.9733333333333334,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316832,5,0.8981042654028436,0.9493670886075949,0.9656652360515021,0.9574468085106383,0.9453781512605042,0.9431923099666166,0.023596867129219386,5,0.92,0.9733333333333333,0.9822222222222222,0.9777777777777779,0.971111111111111,0.9648888888888889,0.022766663955316777,5
