,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,params,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score,split0_test_precision_0,split1_test_precision_0,split2_test_precision_0,split3_test_precision_0,split4_test_precision_0,mean_test_precision_0,std_test_precision_0,rank_test_precision_0,split0_test_precision_1,split1_test_precision_1,split2_test_precision_1,split3_test_precision_1,split4_test_precision_1,mean_test_precision_1,std_test_precision_1,rank_test_precision_1,split0_test_recall_0,split1_test_recall_0,split2_test_recall_0,split3_test_recall_0,split4_test_recall_0,mean_test_recall_0,std_test_recall_0,rank_test_recall_0,split0_test_recall_1,split1_test_recall_1,split2_test_recall_1,split3_test_recall_1,split4_test_recall_1,mean_test_recall_1,std_test_recall_1,rank_test_recall_1,split0_test_fbeta_score,split1_test_fbeta_score,split2_test_fbeta_score,split3_test_fbeta_score,split4_test_fbeta_score,mean_test_fbeta_score,std_test_fbeta_score,rank_test_fbeta_score,split0_test_balanced_accuracy_score,split1_test_balanced_accuracy_score,split2_test_balanced_accuracy_score,split3_test_balanced_accuracy_score,split4_test_balanced_accuracy_score,mean_test_balanced_accuracy_score,std_test_balanced_accuracy_score,rank_test_balanced_accuracy_score,split0_test_average_precision_score,split1_test_average_precision_score,split2_test_average_precision_score,split3_test_average_precision_score,split4_test_average_precision_score,mean_test_average_precision_score,std_test_average_precision_score,rank_test_average_precision_score,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,0.6254522800445557,0.17255760867205575,0.06064586639404297,0.004131258740016763,gbtree,0.1,"{'booster': 'gbtree', 'learning_rate': 0.1}",0.7755555555555556,0.9844444444444445,0.9844444444444445,0.9777777777777777,0.9844444444444445,0.9413333333333334,0.0829290936155776,3,0.6901840490797546,1.0,1.0,1.0,1.0,0.938036809815951,0.12392638036809815,4,1.0,0.9698275862068966,0.9698275862068966,0.9574468085106383,0.9698275862068966,0.9733859134262657,0.014144608495578167,1,1.0,0.9688888888888889,0.9688888888888889,0.9555555555555556,0.9688888888888889,0.9724444444444444,0.014713729206441631,1,0.5511111111111111,1.0,1.0,1.0,1.0,0.9102222222222223,0.17955555555555555,4,0.8599167822468793,0.9757155247181266,0.9757155247181266,0.9656652360515021,0.9757155247181266,0.9505457184905524,0.04548133976156933,1,0.7755555555555556,0.9844444444444445,0.9844444444444445,0.9777777777777779,0.9844444444444445,0.9413333333333334,0.08292909361557761,3,0.7755555555555556,0.9698275862068966,0.9698275862068966,0.9574468085106383,0.9698275862068966,0.9284970245373767,0.07662092261278225,1,0.7755555555555556,0.9844444444444445,0.9844444444444445,0.9777777777777779,0.9844444444444445,0.9413333333333334,0.08292909361557761,3
6,8.88291163444519,0.3925690935230507,0.1725100040435791,0.016673577881912545,dart,0.1,"{'booster': 'dart', 'learning_rate': 0.1}",0.7755555555555556,0.9844444444444445,0.9844444444444445,0.9777777777777777,0.9844444444444445,0.9413333333333334,0.0829290936155776,3,0.6901840490797546,1.0,1.0,1.0,1.0,0.938036809815951,0.12392638036809815,4,1.0,0.9698275862068966,0.9698275862068966,0.9574468085106383,0.9698275862068966,0.9733859134262657,0.014144608495578167,1,1.0,0.9688888888888889,0.9688888888888889,0.9555555555555556,0.9688888888888889,0.9724444444444444,0.014713729206441631,1,0.5511111111111111,1.0,1.0,1.0,1.0,0.9102222222222223,0.17955555555555555,4,0.8599167822468793,0.9757155247181266,0.9757155247181266,0.9656652360515021,0.9757155247181266,0.9505457184905524,0.04548133976156933,1,0.7755555555555556,0.9844444444444445,0.9844444444444445,0.9777777777777779,0.9844444444444445,0.9413333333333334,0.08292909361557761,3,0.7755555555555556,0.9698275862068966,0.9698275862068966,0.9574468085106383,0.9698275862068966,0.9284970245373767,0.07662092261278225,1,0.7755555555555556,0.9844444444444445,0.9844444444444445,0.9777777777777779,0.9844444444444445,0.9413333333333334,0.08292909361557761,3
3,0.4730692863464355,0.10216573059403426,0.05212311744689942,0.005674965083926748,gblinear,0.1,"{'booster': 'gblinear', 'learning_rate': 0.1}",0.9155555555555556,0.9666666666666667,0.9733333333333334,0.9711111111111111,0.96,0.9573333333333334,0.021379579503654572,1,0.9082969432314411,1.0,1.0,1.0,1.0,0.9816593886462883,0.03668122270742358,3,0.9230769230769231,0.9375,0.9493670886075949,0.9453781512605042,0.9259259259259259,0.9362496177741896,0.010363977222591003,7,0.9244444444444444,0.9333333333333333,0.9466666666666667,0.9422222222222222,0.92,0.9333333333333333,0.010134892667547881,7,0.9066666666666666,1.0,1.0,1.0,1.0,0.9813333333333333,0.03733333333333335,3,0.9197475202885482,0.9493670886075949,0.959079283887468,0.9558198810535259,0.9398496240601504,0.9447726795794577,0.014130274270048947,5,0.9155555555555555,0.9666666666666667,0.9733333333333334,0.971111111111111,0.96,0.9573333333333333,0.021379579503654603,1,0.8835897435897435,0.9375,0.9493670886075949,0.9453781512605042,0.9259259259259259,0.9283521818767536,0.023768698383023326,3,0.9155555555555556,0.9666666666666667,0.9733333333333333,0.971111111111111,0.9600000000000001,0.9573333333333334,0.021379579503654544,1
2,2.2736330032348633,0.7477791157585769,0.049120330810546876,0.006312595381212816,gbtree,0.05,"{'booster': 'gbtree', 'learning_rate': 0.05}",0.7755555555555556,0.9822222222222222,0.9822222222222222,0.98,0.98,0.9399999999999998,0.08222822800888684,5,0.6901840490797546,1.0,1.0,1.0,1.0,0.938036809815951,0.12392638036809815,4,1.0,0.9656652360515021,0.9656652360515021,0.9615384615384616,0.9615384615384616,0.9708814790359854,0.014675766397678678,3,1.0,0.9644444444444444,0.9644444444444444,0.96,0.96,0.9697777777777776,0.015241269510650897,3,0.5511111111111111,1.0,1.0,1.0,1.0,0.9102222222222223,0.17955555555555555,4,0.8599167822468793,0.9723422644770959,0.9723422644770959,0.9689922480620154,0.9689922480620154,0.9485171614650204,0.044325515466781276,3,0.7755555555555556,0.9822222222222222,0.9822222222222222,0.98,0.98,0.9399999999999998,0.08222822800888684,5,0.7755555555555556,0.9656652360515021,0.9656652360515021,0.9615384615384616,0.9615384615384616,0.9259925901470967,0.07524115494694658,4,0.7755555555555556,0.9822222222222222,0.9822222222222222,0.98,0.98,0.9399999999999998,0.08222822800888684,5
8,9.117898321151733,0.36309077506817816,0.08392901420593261,0.031026690584756933,dart,0.05,"{'booster': 'dart', 'learning_rate': 0.05}",0.7755555555555556,0.9822222222222222,0.9822222222222222,0.98,0.98,0.9399999999999998,0.08222822800888684,5,0.6901840490797546,1.0,1.0,1.0,1.0,0.938036809815951,0.12392638036809815,4,1.0,0.9656652360515021,0.9656652360515021,0.9615384615384616,0.9615384615384616,0.9708814790359854,0.014675766397678678,3,1.0,0.9644444444444444,0.9644444444444444,0.96,0.96,0.9697777777777776,0.015241269510650897,3,0.5511111111111111,1.0,1.0,1.0,1.0,0.9102222222222223,0.17955555555555555,4,0.8599167822468793,0.9723422644770959,0.9723422644770959,0.9689922480620154,0.9689922480620154,0.9485171614650204,0.044325515466781276,3,0.7755555555555556,0.9822222222222222,0.9822222222222222,0.98,0.98,0.9399999999999998,0.08222822800888684,5,0.7755555555555556,0.9656652360515021,0.9656652360515021,0.9615384615384616,0.9615384615384616,0.9259925901470967,0.07524115494694658,4,0.7755555555555556,0.9822222222222222,0.9822222222222222,0.98,0.98,0.9399999999999998,0.08222822800888684,5
1,1.5205825328826905,0.611743145314211,0.0556035041809082,0.005546446917997498,gbtree,0.01,"{'booster': 'gbtree', 'learning_rate': 0.01}",0.7755555555555556,0.98,0.9777777777777777,0.9733333333333334,0.9755555555555555,0.9364444444444444,0.08047513226817492,7,0.6901840490797546,1.0,1.0,1.0,1.0,0.938036809815951,0.12392638036809815,4,1.0,0.9615384615384616,0.9574468085106383,0.9493670886075949,0.9533898305084746,0.964348437833034,0.018281653306707817,5,1.0,0.96,0.9555555555555556,0.9466666666666667,0.9511111111111111,0.9626666666666667,0.019188473906598134,5,0.5511111111111111,1.0,1.0,1.0,1.0,0.9102222222222223,0.17955555555555555,4,0.8599167822468793,0.9689922480620154,0.9656652360515021,0.959079283887468,0.962360992301112,0.9432029085097954,0.04177395478213884,6,0.7755555555555556,0.98,0.9777777777777779,0.9733333333333334,0.9755555555555555,0.9364444444444444,0.08047513226817492,7,0.7755555555555556,0.9615384615384616,0.9574468085106383,0.9493670886075949,0.9533898305084746,0.919459548944145,0.07206629034913756,6,0.7755555555555556,0.98,0.9777777777777779,0.9733333333333333,0.9755555555555556,0.9364444444444444,0.08047513226817492,7
7,9.772993469238282,0.2138357143691469,0.13816351890563966,0.029168343739422786,dart,0.01,"{'booster': 'dart', 'learning_rate': 0.01}",0.7755555555555556,0.98,0.9777777777777777,0.9733333333333334,0.9755555555555555,0.9364444444444444,0.08047513226817492,7,0.6901840490797546,1.0,1.0,1.0,1.0,0.938036809815951,0.12392638036809815,4,1.0,0.9615384615384616,0.9574468085106383,0.9493670886075949,0.9533898305084746,0.964348437833034,0.018281653306707817,5,1.0,0.96,0.9555555555555556,0.9466666666666667,0.9511111111111111,0.9626666666666667,0.019188473906598134,5,0.5511111111111111,1.0,1.0,1.0,1.0,0.9102222222222223,0.17955555555555555,4,0.8599167822468793,0.9689922480620154,0.9656652360515021,0.959079283887468,0.962360992301112,0.9432029085097954,0.04177395478213884,6,0.7755555555555556,0.98,0.9777777777777779,0.9733333333333334,0.9755555555555555,0.9364444444444444,0.08047513226817492,7,0.7755555555555556,0.9615384615384616,0.9574468085106383,0.9493670886075949,0.9533898305084746,0.919459548944145,0.07206629034913756,6,0.7755555555555556,0.98,0.9777777777777779,0.9733333333333333,0.9755555555555556,0.9364444444444444,0.08047513226817492,7
5,0.6489684581756592,0.013484551773259313,0.04424862861633301,0.004597210017015215,gblinear,0.05,"{'booster': 'gblinear', 'learning_rate': 0.05}",0.9133333333333333,0.9577777777777777,0.9688888888888889,0.9644444444444444,0.9533333333333334,0.9515555555555555,0.01984632316601432,2,0.9305555555555556,1.0,1.0,1.0,1.0,0.986111111111111,0.027777777777777766,2,0.8974358974358975,0.9221311475409836,0.9414225941422594,0.9336099585062241,0.9146341463414634,0.9218467487933657,0.015294306160435847,8,0.8933333333333333,0.9155555555555556,0.9377777777777778,0.9288888888888889,0.9066666666666666,0.9164444444444444,0.01575115124148389,8,0.9333333333333333,1.0,1.0,1.0,1.0,0.9866666666666667,0.02666666666666666,2,0.9043927648578811,0.9367194004995837,0.9525825571549534,0.9461732548359967,0.9305210918114144,0.9340778138319659,0.016670666470057306,8,0.9133333333333333,0.9577777777777778,0.9688888888888889,0.9644444444444444,0.9533333333333334,0.9515555555555555,0.019846323166014326,2,0.870940170940171,0.9221311475409836,0.9414225941422594,0.9336099585062241,0.9146341463414634,0.9165476034942204,0.024595789496844468,8,0.9133333333333333,0.9577777777777778,0.9688888888888889,0.9644444444444444,0.9533333333333333,0.9515555555555555,0.019846323166014323,2
4,0.3957194805145264,0.08022787549915504,0.05199122428894043,0.007250562363612568,gblinear,0.01,"{'booster': 'gblinear', 'learning_rate': 0.01}",0.7088888888888889,0.7422222222222222,0.7044444444444444,0.7066666666666667,0.6955555555555556,0.7115555555555555,0.015987649554315506,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.6320224719101124,0.6598240469208211,0.6284916201117319,0.6302521008403361,0.6215469613259669,0.6344274402217935,0.013185944488890274,9,0.4177777777777778,0.48444444444444446,0.4088888888888889,0.41333333333333333,0.39111111111111113,0.4231111111111111,0.03197529910863102,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.6822316555488175,0.7079924480805538,0.6789378394689197,0.6805807622504537,0.6724447101016139,0.6844374830900717,0.012236413121431455,9,0.7088888888888889,0.7422222222222222,0.7044444444444444,0.7066666666666667,0.6955555555555556,0.7115555555555555,0.015987649554315506,9,0.6320224719101124,0.6598240469208211,0.6284916201117319,0.6302521008403361,0.6215469613259669,0.6344274402217935,0.013185944488890274,9,0.7088888888888889,0.7422222222222222,0.7044444444444444,0.7066666666666667,0.6955555555555555,0.7115555555555555,0.015987649554315527,9
