,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score,split0_test_precision_0,split1_test_precision_0,split2_test_precision_0,split3_test_precision_0,split4_test_precision_0,mean_test_precision_0,std_test_precision_0,rank_test_precision_0,split0_test_precision_1,split1_test_precision_1,split2_test_precision_1,split3_test_precision_1,split4_test_precision_1,mean_test_precision_1,std_test_precision_1,rank_test_precision_1,split0_test_recall_0,split1_test_recall_0,split2_test_recall_0,split3_test_recall_0,split4_test_recall_0,mean_test_recall_0,std_test_recall_0,rank_test_recall_0,split0_test_recall_1,split1_test_recall_1,split2_test_recall_1,split3_test_recall_1,split4_test_recall_1,mean_test_recall_1,std_test_recall_1,rank_test_recall_1,split0_test_fbeta_score,split1_test_fbeta_score,split2_test_fbeta_score,split3_test_fbeta_score,split4_test_fbeta_score,mean_test_fbeta_score,std_test_fbeta_score,rank_test_fbeta_score,split0_test_balanced_accuracy_score,split1_test_balanced_accuracy_score,split2_test_balanced_accuracy_score,split3_test_balanced_accuracy_score,split4_test_balanced_accuracy_score,mean_test_balanced_accuracy_score,std_test_balanced_accuracy_score,rank_test_balanced_accuracy_score,split0_test_average_precision_score,split1_test_average_precision_score,split2_test_average_precision_score,split3_test_average_precision_score,split4_test_average_precision_score,mean_test_average_precision_score,std_test_average_precision_score,rank_test_average_precision_score,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
42,0.9062588214874268,0.027242033260963305,0.10004100799560547,0.01720980789796798,entropy,1,7,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_leaf': 7}",0.88,0.98,0.9933333333333333,0.9844444444444445,0.9866666666666667,0.9648888888888887,0.04266203678583629,1,0.8202247191011236,1.0,1.0,1.0,1.0,0.9640449438202247,0.07191011235955057,1,0.9672131147540983,0.9615384615384616,0.9868421052631579,0.9698275862068966,0.974025974025974,0.9718894483577177,0.008501870265966988,100,0.9733333333333334,0.96,0.9866666666666667,0.9688888888888889,0.9733333333333334,0.9724444444444444,0.008618097524295716,100,0.7866666666666666,1.0,1.0,1.0,1.0,0.9573333333333334,0.08533333333333336,1,0.9247648902821317,0.9689922480620154,0.9894459102902374,0.9757155247181266,0.97911227154047,0.9676061689785962,0.022416167035457495,1,0.88,0.98,0.9933333333333334,0.9844444444444445,0.9866666666666667,0.9648888888888889,0.042662036785836306,1,0.8675409836065573,0.9615384615384616,0.9868421052631579,0.9698275862068966,0.974025974025974,0.9519550221282094,0.04299124618931153,1,0.88,0.98,0.9933333333333334,0.9844444444444445,0.9866666666666667,0.9648888888888889,0.042662036785836306,1
41,1.0215017795562744,0.051871224487295545,0.13179559707641603,0.031527114250992846,entropy,1,6,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_leaf': 6}",0.8711111111111111,0.98,0.9933333333333333,0.9822222222222222,0.9866666666666667,0.9626666666666666,0.046003757227126,2,0.8058608058608059,1.0,1.0,1.0,1.0,0.9611721611721611,0.07765567765567766,2,0.9717514124293786,0.9615384615384616,0.9868421052631579,0.9656652360515021,0.974025974025974,0.9719646378616948,0.008648944722197682,99,0.9777777777777777,0.96,0.9866666666666667,0.9644444444444444,0.9733333333333334,0.9724444444444446,0.009490736224027848,99,0.7644444444444445,1.0,1.0,1.0,1.0,0.952888888888889,0.09422222222222222,2,0.9217577706323687,0.9689922480620154,0.9894459102902374,0.9723422644770959,0.97911227154047,0.9663300930004375,0.023356584912715098,2,0.8711111111111112,0.98,0.9933333333333334,0.9822222222222222,0.9866666666666667,0.9626666666666667,0.04600375722712596,2,0.8606277463904582,0.9615384615384616,0.9868421052631579,0.9656652360515021,0.974025974025974,0.9497399046539107,0.04538763120200301,2,0.8711111111111112,0.98,0.9933333333333334,0.9822222222222222,0.9866666666666667,0.9626666666666667,0.04600375722712596,2
16,0.8991458892822266,0.3781703039048452,0.1231226921081543,0.02589586669795302,gini,2,8,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 8}",0.7933333333333333,0.9933333333333333,0.9955555555555555,0.9888888888888889,0.9955555555555555,0.9533333333333334,0.08003702846761569,8,0.7101910828025477,1.0,1.0,1.0,1.0,0.9420382165605096,0.11592356687898092,25,0.9852941176470589,0.9868421052631579,0.9911894273127754,0.9782608695652174,0.9911894273127754,0.9865551894201969,0.0047627867108379915,57,0.9911111111111112,0.9866666666666667,0.9911111111111112,0.9777777777777777,0.9911111111111112,0.9875555555555555,0.005183068350973634,45,0.5955555555555555,1.0,1.0,1.0,1.0,0.9191111111111111,0.1617777777777778,25,0.871261378413524,0.9894459102902374,0.9929390997352162,0.982532751091703,0.9929390997352162,0.9658236478531794,0.04743358235847883,3,0.7933333333333333,0.9933333333333334,0.9955555555555555,0.9888888888888889,0.9955555555555555,0.9533333333333334,0.0800370284676157,9,0.7890196078431373,0.9868421052631579,0.9911894273127754,0.9782608695652174,0.9911894273127754,0.9473002874594126,0.07928101882983206,3,0.7933333333333333,0.9933333333333334,0.9955555555555556,0.9888888888888888,0.9955555555555556,0.9533333333333334,0.08003702846761572,8
50,1.1477516651153565,0.17267310987823958,0.13639421463012696,0.04521088363015255,entropy,2,6,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 6}",0.7977777777777778,0.9933333333333333,0.9955555555555555,0.9888888888888889,0.9911111111111112,0.9533333333333334,0.07780951733338487,8,0.7147435897435898,1.0,1.0,1.0,1.0,0.9429487179487179,0.1141025641025641,22,0.9855072463768116,0.9868421052631579,0.9911894273127754,0.9782608695652174,0.982532751091703,0.984866479921933,0.004321428450957921,72,0.9911111111111112,0.9866666666666667,0.9911111111111112,0.9777777777777777,0.9822222222222222,0.9857777777777779,0.005183068350973634,66,0.6044444444444445,1.0,1.0,1.0,1.0,0.920888888888889,0.1582222222222222,22,0.8751608751608752,0.9894459102902374,0.9929390997352162,0.982532751091703,0.985977212971078,0.9652111698498219,0.04515856959015146,4,0.7977777777777778,0.9933333333333334,0.9955555555555555,0.9888888888888889,0.991111111111111,0.9533333333333335,0.07780951733338487,8,0.7934621578099839,0.9868421052631579,0.9911894273127754,0.9782608695652174,0.982532751091703,0.9464574622085674,0.07661894602804283,4,0.7977777777777777,0.9933333333333334,0.9955555555555556,0.9888888888888888,0.991111111111111,0.9533333333333334,0.07780951733338491,8
2,0.521832799911499,0.04864747126427432,0.0698657512664795,0.01851838561692038,gini,1,3,"{'criterion': 'gini', 'max_depth': 1, 'min_samples_leaf': 3}",0.7977777777777778,0.9911111111111112,0.9977777777777778,0.9844444444444445,0.9933333333333333,0.9528888888888888,0.0776748525331679,11,0.7133757961783439,1.0,1.0,1.0,1.0,0.9426751592356688,0.11464968152866244,24,0.9926470588235294,0.982532751091703,0.995575221238938,0.9698275862068966,0.9868421052631579,0.9854849445248449,0.009042342243327464,64,0.9955555555555555,0.9822222222222222,0.9955555555555555,0.9688888888888889,0.9866666666666667,0.9857777777777779,0.009898247756142243,66,0.6,1.0,1.0,1.0,1.0,0.9199999999999999,0.16,24,0.8777633289986996,0.985977212971078,0.9964570416297609,0.9757155247181266,0.9894459102902374,0.9650718037215805,0.04416384249711648,5,0.7977777777777777,0.991111111111111,0.9977777777777778,0.9844444444444445,0.9933333333333334,0.9528888888888888,0.07767485253316796,11,0.7955882352941177,0.982532751091703,0.995575221238938,0.9698275862068966,0.9868421052631579,0.9460731798189626,0.07569920485117412,5,0.7977777777777778,0.991111111111111,0.9977777777777778,0.9844444444444445,0.9933333333333334,0.9528888888888888,0.0776748525331679,11
9,0.610229778289795,0.06685991114487078,0.07202258110046386,0.016065570083043542,gini,2,1,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 1}",0.7866666666666666,0.9933333333333333,0.9955555555555555,0.9866666666666667,0.9955555555555555,0.9515555555555555,0.08250880985509186,14,0.7034700315457413,1.0,1.0,1.0,1.0,0.9406940063091482,0.11861198738170348,29,0.9849624060150376,0.9868421052631579,0.9911894273127754,0.974025974025974,0.9911894273127754,0.9856418679859441,0.006298921487845619,63,0.9911111111111112,0.9866666666666667,0.9911111111111112,0.9733333333333334,0.9911111111111112,0.9866666666666667,0.006885303726590965,57,0.5822222222222222,1.0,1.0,1.0,1.0,0.9164444444444445,0.16711111111111113,28,0.8652575957727873,0.9894459102902374,0.9929390997352162,0.97911227154047,0.9929390997352162,0.9639387954147853,0.049600124498120596,6,0.7866666666666666,0.9933333333333334,0.9955555555555555,0.9866666666666667,0.9955555555555555,0.9515555555555556,0.08250880985509187,13,0.7823558897243108,0.9868421052631579,0.9911894273127754,0.974025974025974,0.9911894273127754,0.9451205647277987,0.08162503201846431,6,0.7866666666666666,0.9933333333333334,0.9955555555555556,0.9866666666666667,0.9955555555555556,0.9515555555555556,0.0825088098550919,13
43,0.9752034664154052,0.08913246653062028,0.12288613319396972,0.017642772631775033,entropy,1,8,"{'criterion': 'entropy', 'max_depth': 1, 'min_samples_leaf': 8}",0.8177777777777778,0.9911111111111112,0.9911111111111112,0.9844444444444445,0.9888888888888889,0.9546666666666667,0.06848772080624795,5,0.7375415282392026,1.0,1.0,1.0,1.0,0.9475083056478406,0.10498338870431896,7,0.9798657718120806,0.982532751091703,0.982532751091703,0.9698275862068966,0.9782608695652174,0.9786039459535202,0.004681995641504195,85,0.9866666666666667,0.9822222222222222,0.9822222222222222,0.9688888888888889,0.9777777777777777,0.9795555555555555,0.006028737762778016,85,0.6488888888888888,1.0,1.0,1.0,1.0,0.9297777777777778,0.14044444444444446,7,0.8891595615103532,0.985977212971078,0.985977212971078,0.9757155247181266,0.982532751091703,0.963872452652468,0.037543899781705095,7,0.8177777777777777,0.991111111111111,0.991111111111111,0.9844444444444445,0.9888888888888889,0.9546666666666667,0.06848772080624796,5,0.8113795674869501,0.982532751091703,0.982532751091703,0.9698275862068966,0.9782608695652174,0.9449067050884941,0.06692456313699884,7,0.8177777777777778,0.991111111111111,0.991111111111111,0.9844444444444445,0.9888888888888888,0.9546666666666667,0.0684877208062479,5
10,0.5936764240264892,0.027347286607051668,0.07094697952270508,0.009173571184784146,gini,2,2,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2}",0.7888888888888889,0.9933333333333333,0.9955555555555555,0.9888888888888889,0.9911111111111112,0.9515555555555556,0.08136368589681794,13,0.7070063694267515,1.0,1.0,1.0,1.0,0.9414012738853504,0.11719745222929938,27,0.9779411764705882,0.9868421052631579,0.9911894273127754,0.9782608695652174,0.982532751091703,0.9833532659406885,0.0050886910450936625,77,0.9866666666666667,0.9866666666666667,0.9911111111111112,0.9777777777777777,0.9822222222222222,0.984888888888889,0.004532461789860282,74,0.5911111111111111,1.0,1.0,1.0,1.0,0.9182222222222223,0.16355555555555554,26,0.8647594278283485,0.9894459102902374,0.9929390997352162,0.982532751091703,0.985977212971078,0.9631308803833166,0.049307891695757985,8,0.788888888888889,0.9933333333333334,0.9955555555555555,0.9888888888888889,0.991111111111111,0.9515555555555555,0.0813636858968179,14,0.782516339869281,0.9868421052631579,0.9911894273127754,0.9782608695652174,0.982532751091703,0.9442682986204268,0.08099071637170784,8,0.7888888888888889,0.9933333333333334,0.9955555555555556,0.9888888888888888,0.991111111111111,0.9515555555555556,0.08136368589681794,13
52,1.1716681957244872,0.1229843693078205,0.1138040542602539,0.012705720288880498,entropy,2,8,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_leaf': 8}",0.7711111111111111,0.9933333333333333,0.9955555555555555,0.9888888888888889,0.9977777777777778,0.9493333333333333,0.08915958781177397,25,0.6871165644171779,1.0,1.0,1.0,1.0,0.9374233128834355,0.12515337423312886,37,0.9919354838709677,0.9868421052631579,0.9911894273127754,0.9782608695652174,0.995575221238938,0.9887606214502112,0.0059387391523065,21,0.9955555555555555,0.9866666666666667,0.9911111111111112,0.9777777777777777,0.9955555555555555,0.9893333333333333,0.006651835354264786,22,0.5466666666666666,1.0,1.0,1.0,1.0,0.9093333333333333,0.18133333333333335,37,0.8529819694868238,0.9894459102902374,0.9929390997352162,0.982532751091703,0.9964570416297609,0.9628713544467484,0.055137142025075615,9,0.7711111111111111,0.9933333333333334,0.9955555555555555,0.9888888888888889,0.9977777777777778,0.9493333333333333,0.08915958781177398,24,0.7689247311827957,0.9868421052631579,0.9911894273127754,0.9782608695652174,0.995575221238938,0.9441584709125769,0.08780355670354491,9,0.7711111111111111,0.9933333333333334,0.9955555555555556,0.9888888888888888,0.9977777777777778,0.9493333333333334,0.08915958781177397,24
13,0.6210652828216553,0.06830659267811728,0.11161680221557617,0.04399858079187107,gini,2,5,"{'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 5}",0.7688888888888888,0.9933333333333333,0.9955555555555555,0.9888888888888889,0.9977777777777778,0.9488888888888889,0.09004799817491027,26,0.6850152905198776,1.0,1.0,1.0,1.0,0.9370030581039754,0.12599388379204893,38,0.991869918699187,0.9868421052631579,0.9911894273127754,0.9782608695652174,0.995575221238938,0.988747508415855,0.005931782730833903,22,0.9955555555555555,0.9866666666666667,0.9911111111111112,0.9777777777777777,0.9955555555555555,0.9893333333333333,0.006651835354264786,22,0.5422222222222223,1.0,1.0,1.0,1.0,0.9084444444444444,0.18311111111111109,38,0.8507670850767085,0.9894459102902374,0.9929390997352162,0.982532751091703,0.9964570416297609,0.9624283775647253,0.056020052293793386,13,0.768888888888889,0.9933333333333334,0.9955555555555555,0.9888888888888889,0.9977777777777778,0.9488888888888889,0.09004799817491024,27,0.766702800361337,0.9868421052631579,0.9911894273127754,0.9782608695652174,0.995575221238938,0.9437140847482851,0.0886904582520054,10,0.7688888888888888,0.9933333333333334,0.9955555555555556,0.9888888888888888,0.9977777777777778,0.9488888888888889,0.0900479981749103,27
