param_boosting_type,param_learning_rate,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,rank_test_average_precision_score
dart,0.01,8,6,1.2,1.4,0.75,525
dart,0.01,8,6,1.2,1.4,0.7,525
dart,0.005,16,6,1.0,1.2,0.7,525
dart,0.005,16,6,1.0,1.2,0.75,525
dart,0.01,8,6,1.2,1.2,0.75,525
dart,0.005,16,6,1.0,1.0,0.7,525
dart,0.005,16,6,1.0,1.0,0.75,525
dart,0.01,8,6,1.0,1.4,0.75,525
dart,0.01,8,6,1.0,1.2,0.75,525
dart,0.01,8,6,1.2,1.0,0.75,525
dart,0.01,8,6,1.2,1.2,0.7,525
dart,0.01,8,6,1.0,1.0,0.7,525
dart,0.01,8,6,1.0,1.4,0.7,525
dart,0.01,8,6,1.0,1.2,0.7,525
dart,0.01,8,6,1.0,1.0,0.75,525
dart,0.01,8,6,1.2,1.0,0.7,525
gbdt,0.005,8,6,1.2,1.2,0.75,541
gbdt,0.005,8,6,1.0,1.4,0.75,541
gbdt,0.005,8,6,1.0,1.4,0.7,541
gbdt,0.005,8,6,1.2,1.4,0.75,541
gbdt,0.005,8,6,1.2,1.4,0.7,541
gbdt,0.005,8,6,1.2,1.2,0.7,541
gbdt,0.005,8,6,1.2,1.0,0.75,541
gbdt,0.005,8,6,1.2,1.0,0.7,541
gbdt,0.005,8,6,1.0,1.0,0.7,541
gbdt,0.005,8,6,1.0,1.0,0.75,541
gbdt,0.005,8,6,1.0,1.2,0.7,541
gbdt,0.005,8,6,1.0,1.2,0.75,541
dart,0.005,8,6,1.2,1.4,0.75,553
dart,0.005,8,6,1.2,1.4,0.7,553
dart,0.005,8,6,1.2,1.2,0.75,553
dart,0.005,8,6,1.2,1.0,0.75,553
dart,0.005,8,6,1.2,1.0,0.7,553
dart,0.005,8,6,1.2,1.2,0.7,553
dart,0.005,8,6,1.0,1.4,0.7,553
dart,0.005,8,6,1.0,1.2,0.7,553
dart,0.005,8,6,1.0,1.0,0.75,553
dart,0.005,8,6,1.0,1.0,0.7,553
dart,0.005,8,6,1.0,1.2,0.75,553
dart,0.005,8,6,1.0,1.4,0.75,553
dart,0.001,16,6,1.2,1.2,0.75,565
dart,0.001,16,6,1.2,1.2,0.7,565
dart,0.001,16,6,1.2,1.0,0.75,565
dart,0.001,16,6,1.2,1.0,0.7,565
dart,0.001,16,6,1.0,1.0,0.7,565
dart,0.001,16,6,1.0,1.4,0.7,565
dart,0.001,16,6,1.0,1.2,0.7,565
gbdt,0.001,16,6,1.2,1.2,0.7,565
dart,0.001,16,6,1.2,1.4,0.7,565
dart,0.001,16,6,1.0,1.4,0.75,565
dart,0.001,16,6,1.0,1.2,0.75,565
gbdt,0.001,16,6,1.0,1.0,0.7,565
gbdt,0.001,16,6,1.2,1.0,0.7,565
gbdt,0.001,16,6,1.0,1.4,0.75,565
gbdt,0.001,16,6,1.0,1.4,0.7,565
dart,0.001,16,6,1.0,1.0,0.75,565
gbdt,0.001,16,6,1.0,1.2,0.75,565
gbdt,0.001,16,6,1.0,1.0,0.75,565
gbdt,0.001,16,6,1.2,1.0,0.75,565
dart,0.001,24,6,1.0,1.2,0.75,565
dart,0.001,24,6,1.0,1.2,0.7,565
gbdt,0.001,16,6,1.0,1.2,0.7,565
dart,0.001,16,6,1.2,1.4,0.75,565
gbdt,0.001,16,6,1.2,1.4,0.7,565
gbdt,0.001,16,6,1.2,1.2,0.75,565
gbdt,0.001,24,6,1.0,1.0,0.75,565
gbdt,0.001,24,6,1.2,1.2,0.75,565
gbdt,0.001,24,6,1.2,1.4,0.75,565
dart,0.001,24,6,1.2,1.4,0.75,565
dart,0.001,24,6,1.2,1.4,0.7,565
dart,0.001,24,6,1.2,1.2,0.75,565
dart,0.001,24,6,1.2,1.2,0.7,565
dart,0.001,24,6,1.2,1.0,0.75,565
gbdt,0.001,24,6,1.2,1.4,0.7,565
dart,0.001,24,6,1.0,1.4,0.75,565
dart,0.001,24,6,1.0,1.4,0.7,565
dart,0.001,24,6,1.2,1.0,0.7,565
gbdt,0.001,16,6,1.2,1.4,0.75,565
dart,0.001,24,6,1.0,1.0,0.75,565
gbdt,0.001,24,6,1.2,1.2,0.7,565
gbdt,0.001,24,6,1.2,1.0,0.75,565
gbdt,0.001,24,6,1.2,1.0,0.7,565
gbdt,0.001,24,6,1.0,1.4,0.75,565
gbdt,0.001,24,6,1.0,1.4,0.7,565
gbdt,0.001,24,6,1.0,1.2,0.75,565
gbdt,0.001,24,6,1.0,1.2,0.7,565
dart,0.001,24,6,1.0,1.0,0.7,565
gbdt,0.001,24,6,1.0,1.0,0.7,565
gbdt,0.001,8,6,1.0,1.0,0.75,613
gbdt,0.001,8,6,1.2,1.4,0.75,613
gbdt,0.001,8,6,1.2,1.4,0.7,613
gbdt,0.001,8,6,1.2,1.2,0.75,613
gbdt,0.001,8,6,1.0,1.0,0.7,613
gbdt,0.001,8,6,1.0,1.2,0.7,613
gbdt,0.001,8,6,1.0,1.4,0.7,613
gbdt,0.001,8,6,1.0,1.4,0.75,613
gbdt,0.001,8,6,1.2,1.0,0.7,613
gbdt,0.001,8,6,1.2,1.0,0.75,613
gbdt,0.001,8,6,1.2,1.2,0.7,613
gbdt,0.001,8,6,1.0,1.2,0.75,613
dart,0.001,8,8,1.2,1.0,0.7,625
dart,0.001,8,8,1.2,1.4,0.7,625
dart,0.001,8,8,1.2,1.2,0.75,625
dart,0.001,8,8,1.2,1.0,0.75,625
dart,0.001,8,8,1.0,1.0,0.75,625
dart,0.001,8,8,1.2,1.2,0.7,625
dart,0.001,8,8,1.0,1.4,0.7,625
dart,0.001,8,8,1.0,1.2,0.75,625
dart,0.001,8,8,1.0,1.2,0.7,625
dart,0.001,8,8,1.0,1.0,0.7,625
dart,0.001,8,8,1.2,1.4,0.75,625
dart,0.001,8,8,1.0,1.4,0.75,625
dart,0.001,8,6,1.2,1.0,0.75,637
dart,0.001,8,6,1.2,1.4,0.75,637
dart,0.001,8,6,1.2,1.4,0.7,637
dart,0.001,8,6,1.2,1.2,0.75,637
dart,0.001,8,6,1.2,1.2,0.7,637
dart,0.001,8,6,1.0,1.2,0.75,637
dart,0.001,8,6,1.0,1.2,0.7,637
dart,0.001,8,6,1.0,1.4,0.7,637
dart,0.001,8,6,1.0,1.4,0.75,637
dart,0.001,8,6,1.0,1.0,0.7,637
dart,0.001,8,6,1.0,1.0,0.75,637
dart,0.001,8,6,1.2,1.0,0.7,637
