param_boosting_type,param_learning_rate,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,rank_test_average_precision_score
dart,0.005,24,12,1.2,1.4,0.75,121
dart,0.005,24,12,1.2,1.4,0.7,121
gbdt,0.005,24,12,1.2,1.2,0.75,123
gbdt,0.005,24,12,1.0,1.4,0.7,123
gbdt,0.005,24,12,1.2,1.2,0.7,123
gbdt,0.005,24,12,1.0,1.4,0.75,123
gbdt,0.01,24,12,1.0,1.4,0.75,127
gbdt,0.01,24,12,1.0,1.4,0.7,127
dart,0.005,16,12,1.0,1.2,0.75,129
dart,0.01,8,12,1.2,1.4,0.7,129
dart,0.005,16,12,1.0,1.2,0.7,129
dart,0.01,8,12,1.2,1.4,0.75,129
dart,0.01,16,12,1.2,1.4,0.7,133
dart,0.01,16,12,1.2,1.4,0.75,133
dart,0.005,24,12,1.0,1.0,0.7,135
dart,0.005,24,12,1.0,1.0,0.75,135
dart,0.01,16,12,1.0,1.0,0.75,137
dart,0.01,16,12,1.0,1.0,0.7,137
dart,0.005,16,12,1.0,1.0,0.7,139
dart,0.005,16,12,1.0,1.0,0.75,139
gbdt,0.01,24,12,1.0,1.0,0.75,141
gbdt,0.01,24,12,1.0,1.0,0.7,141
gbdt,0.005,8,12,1.0,1.2,0.7,143
gbdt,0.005,8,12,1.0,1.2,0.75,143
gbdt,0.005,16,12,1.0,1.4,0.7,145
gbdt,0.005,16,12,1.2,1.2,0.7,145
gbdt,0.005,16,12,1.0,1.4,0.75,145
gbdt,0.005,16,12,1.2,1.2,0.75,145
dart,0.005,24,12,1.0,1.2,0.75,149
dart,0.005,24,12,1.0,1.2,0.7,149
dart,0.005,16,12,1.2,1.0,0.75,149
dart,0.005,16,12,1.2,1.0,0.7,149
dart,0.01,16,12,1.0,1.2,0.7,153
dart,0.01,16,12,1.0,1.2,0.75,153
gbdt,0.005,24,12,1.2,1.4,0.75,155
gbdt,0.005,24,12,1.2,1.4,0.7,155
gbdt,0.01,24,12,1.2,1.4,0.75,157
gbdt,0.01,24,12,1.2,1.4,0.7,157
gbdt,0.01,24,12,1.0,1.2,0.75,159
gbdt,0.01,24,12,1.0,1.2,0.7,159
dart,0.01,24,12,1.2,1.2,0.75,161
dart,0.01,24,12,1.2,1.2,0.7,161
gbdt,0.01,24,12,1.2,1.0,0.7,163
gbdt,0.01,24,12,1.2,1.0,0.75,163
dart,0.005,8,12,1.0,1.0,0.7,165
dart,0.005,8,12,1.0,1.0,0.75,165
gbdt,0.005,24,12,1.2,1.0,0.75,167
gbdt,0.005,24,12,1.0,1.2,0.7,167
gbdt,0.005,24,12,1.0,1.2,0.75,167
gbdt,0.005,24,12,1.2,1.0,0.7,167
dart,0.005,8,12,1.2,1.0,0.7,171
dart,0.005,8,12,1.2,1.0,0.75,171
dart,0.005,8,12,1.0,1.2,0.7,171
dart,0.005,8,12,1.0,1.2,0.75,171
dart,0.005,24,12,1.2,1.2,0.7,175
dart,0.005,24,12,1.2,1.2,0.75,175
gbdt,0.005,16,12,1.2,1.4,0.7,175
gbdt,0.005,16,12,1.2,1.4,0.75,175
gbdt,0.01,16,12,1.2,1.2,0.75,179
gbdt,0.01,16,12,1.2,1.2,0.7,179
gbdt,0.01,16,12,1.0,1.4,0.75,179
gbdt,0.01,16,12,1.0,1.4,0.7,179
dart,0.01,24,12,1.2,1.4,0.7,183
dart,0.01,24,12,1.2,1.4,0.75,183
gbdt,0.01,16,12,1.0,1.2,0.7,185
gbdt,0.01,16,12,1.2,1.0,0.75,185
gbdt,0.01,16,12,1.2,1.0,0.7,185
gbdt,0.01,16,12,1.0,1.2,0.75,185
