,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_dual,param_fit_intercept,param_max_iter,param_n_jobs,param_penalty,param_solver,params,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score,split0_test_precision_0,split1_test_precision_0,split2_test_precision_0,split3_test_precision_0,split4_test_precision_0,mean_test_precision_0,std_test_precision_0,rank_test_precision_0,split0_test_precision_1,split1_test_precision_1,split2_test_precision_1,split3_test_precision_1,split4_test_precision_1,mean_test_precision_1,std_test_precision_1,rank_test_precision_1,split0_test_recall_0,split1_test_recall_0,split2_test_recall_0,split3_test_recall_0,split4_test_recall_0,mean_test_recall_0,std_test_recall_0,rank_test_recall_0,split0_test_recall_1,split1_test_recall_1,split2_test_recall_1,split3_test_recall_1,split4_test_recall_1,mean_test_recall_1,std_test_recall_1,rank_test_recall_1,split0_test_fbeta_score,split1_test_fbeta_score,split2_test_fbeta_score,split3_test_fbeta_score,split4_test_fbeta_score,mean_test_fbeta_score,std_test_fbeta_score,rank_test_fbeta_score,split0_test_balanced_accuracy_score,split1_test_balanced_accuracy_score,split2_test_balanced_accuracy_score,split3_test_balanced_accuracy_score,split4_test_balanced_accuracy_score,mean_test_balanced_accuracy_score,std_test_balanced_accuracy_score,rank_test_balanced_accuracy_score,split0_test_average_precision_score,split1_test_average_precision_score,split2_test_average_precision_score,split3_test_average_precision_score,split4_test_average_precision_score,mean_test_average_precision_score,std_test_average_precision_score,rank_test_average_precision_score,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
517,0.2293224811553955,0.05900877078375999,0.05366110801696777,0.007082824821995354,9,False,True,500,-1,l2,newton-cholesky,"{'C': 9, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.9910846953937593,0.9940564635958395,0.9955357142857143,0.9940476190476191,0.9970238095238095,0.9943496603693485,0.0019695170571834867,1,0.9825072886297376,0.9882352941176471,0.9940652818991098,0.9911242603550295,0.9940828402366864,0.9900029930476422,0.004329316999274273,1,1.0,1.0,0.9970149253731343,0.9970059880239521,1.0,0.9988041826794174,0.001464573857451196,1,1.0,1.0,0.9970238095238095,0.9970238095238095,1.0,0.9988095238095237,0.0014580296087995056,1,0.9821428571428571,0.9881305637982196,0.9940476190476191,0.9910714285714286,0.9940476190476191,0.9898880175215489,0.004451543199962217,55,0.9963768115942029,0.9976033553025764,0.9964200477326969,0.9958133971291866,0.9988038277511961,0.9970034879019718,0.0010724277266393409,1,0.9910714285714286,0.9940652818991098,0.9955357142857143,0.9940476190476191,0.9970238095238095,0.9943487706655363,0.0019736614415966805,1,0.9910581617490979,0.9940741002023801,0.9940565031982942,0.9925684345594525,0.9970238095238095,0.9937562018466067,0.001977812513598929,1,0.9910714285714286,0.9940652818991098,0.9955357142857143,0.9940476190476191,0.9970238095238095,0.9943487706655363,0.0019736614415966805,1
516,0.05707383155822754,0.04488178691674894,0.03346142768859863,0.00892300055431985,9,False,True,500,-1,l2,newton-cg,"{'C': 9, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9910846953937593,0.9940564635958395,0.9955357142857143,0.9940476190476191,0.9970238095238095,0.9943496603693485,0.0019695170571834867,1,0.9825072886297376,0.9882352941176471,0.9940652818991098,0.9911242603550295,0.9940828402366864,0.9900029930476422,0.004329316999274273,1,1.0,1.0,0.9970149253731343,0.9970059880239521,1.0,0.9988041826794174,0.001464573857451196,1,1.0,1.0,0.9970238095238095,0.9970238095238095,1.0,0.9988095238095237,0.0014580296087995056,1,0.9821428571428571,0.9881305637982196,0.9940476190476191,0.9910714285714286,0.9940476190476191,0.9898880175215489,0.004451543199962217,55,0.9963768115942029,0.9976033553025764,0.9964200477326969,0.9958133971291866,0.9988038277511961,0.9970034879019718,0.0010724277266393409,1,0.9910714285714286,0.9940652818991098,0.9955357142857143,0.9940476190476191,0.9970238095238095,0.9943487706655363,0.0019736614415966805,1,0.9910581617490979,0.9940741002023801,0.9940565031982942,0.9925684345594525,0.9970238095238095,0.9937562018466067,0.001977812513598929,1,0.9910714285714286,0.9940652818991098,0.9955357142857143,0.9940476190476191,0.9970238095238095,0.9943487706655363,0.0019736614415966805,1
515,0.025897693634033204,0.004176990961205273,0.02134566307067871,0.004915184241178455,9,False,True,500,-1,l2,lbfgs,"{'C': 9, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9910846953937593,0.9940564635958395,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937544222741103,0.001970853127600507,3,0.9825072886297376,0.9882352941176471,0.9940476190476191,0.9910979228486647,0.9940828402366864,0.9899941929760709,0.004324649832210929,3,1.0,1.0,0.9940476190476191,0.9940298507462687,1.0,0.9976154939587776,0.0029204169500591506,3,1.0,1.0,0.9940476190476191,0.9940476190476191,1.0,0.9976190476190476,0.0029160592175990112,3,0.9821428571428571,0.9881305637982196,0.9940476190476191,0.9910714285714286,0.9940476190476191,0.9898880175215489,0.004451543199962217,55,0.9963768115942029,0.9976033553025764,0.9940476190476191,0.9934367541766109,0.9988038277511961,0.9960536735744411,0.0020465483885595327,3,0.9910714285714286,0.9940652818991098,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937535325702982,0.0019747265448351614,3,0.9910581617490979,0.9940741002023801,0.9911068594104309,0.9896188699360342,0.9970238095238095,0.9925763601643505,0.0026545861587411955,3,0.9910714285714286,0.9940652818991098,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937535325702982,0.0019747265448351614,3
395,0.051597309112548825,0.012710516795417088,0.05014734268188477,0.008116367610739736,7,False,True,500,-1,l2,lbfgs,"{'C': 7, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9910846953937593,0.9940564635958395,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937544222741103,0.001970853127600507,3,0.9825072886297376,0.9882352941176471,0.9940476190476191,0.9910979228486647,0.9940828402366864,0.9899941929760709,0.004324649832210929,3,1.0,1.0,0.9940476190476191,0.9940298507462687,1.0,0.9976154939587776,0.0029204169500591506,3,1.0,1.0,0.9940476190476191,0.9940476190476191,1.0,0.9976190476190476,0.0029160592175990112,3,0.9821428571428571,0.9881305637982196,0.9940476190476191,0.9910714285714286,0.9940476190476191,0.9898880175215489,0.004451543199962217,55,0.9963768115942029,0.9976033553025764,0.9940476190476191,0.9934367541766109,0.9988038277511961,0.9960536735744411,0.0020465483885595327,3,0.9910714285714286,0.9940652818991098,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937535325702982,0.0019747265448351614,3,0.9910581617490979,0.9940741002023801,0.9911068594104309,0.9896188699360342,0.9970238095238095,0.9925763601643505,0.0026545861587411955,3,0.9910714285714286,0.9940652818991098,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937535325702982,0.0019747265448351614,3
457,0.11654129028320312,0.09440411285628254,0.04919748306274414,0.010787307166936452,8,False,True,500,-1,l2,newton-cholesky,"{'C': 8, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.9910846953937593,0.9940564635958395,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937544222741103,0.001970853127600507,3,0.9825072886297376,0.9882352941176471,0.9940476190476191,0.9910979228486647,0.9940828402366864,0.9899941929760709,0.004324649832210929,3,1.0,1.0,0.9940476190476191,0.9940298507462687,1.0,0.9976154939587776,0.0029204169500591506,3,1.0,1.0,0.9940476190476191,0.9940476190476191,1.0,0.9976190476190476,0.0029160592175990112,3,0.9821428571428571,0.9881305637982196,0.9940476190476191,0.9910714285714286,0.9940476190476191,0.9898880175215489,0.004451543199962217,55,0.9963768115942029,0.9976033553025764,0.9940476190476191,0.9934367541766109,0.9988038277511961,0.9960536735744411,0.0020465483885595327,3,0.9910714285714286,0.9940652818991098,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937535325702982,0.0019747265448351614,3,0.9910581617490979,0.9940741002023801,0.9911068594104309,0.9896188699360342,0.9970238095238095,0.9925763601643505,0.0026545861587411955,3,0.9910714285714286,0.9940652818991098,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937535325702982,0.0019747265448351614,3
455,0.3839291572570801,0.21193374639650142,0.07257165908813476,0.012377884722172484,8,False,True,500,-1,l2,lbfgs,"{'C': 8, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9910846953937593,0.9940564635958395,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937544222741103,0.001970853127600507,3,0.9825072886297376,0.9882352941176471,0.9940476190476191,0.9910979228486647,0.9940828402366864,0.9899941929760709,0.004324649832210929,3,1.0,1.0,0.9940476190476191,0.9940298507462687,1.0,0.9976154939587776,0.0029204169500591506,3,1.0,1.0,0.9940476190476191,0.9940476190476191,1.0,0.9976190476190476,0.0029160592175990112,3,0.9821428571428571,0.9881305637982196,0.9940476190476191,0.9910714285714286,0.9940476190476191,0.9898880175215489,0.004451543199962217,55,0.9963768115942029,0.9976033553025764,0.9940476190476191,0.9934367541766109,0.9988038277511961,0.9960536735744411,0.0020465483885595327,3,0.9910714285714286,0.9940652818991098,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937535325702982,0.0019747265448351614,3,0.9910581617490979,0.9940741002023801,0.9911068594104309,0.9896188699360342,0.9970238095238095,0.9925763601643505,0.0026545861587411955,3,0.9910714285714286,0.9940652818991098,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937535325702982,0.0019747265448351614,3
456,0.12272000312805176,0.05548529915417163,0.046082687377929685,0.007556764299910192,8,False,True,500,-1,l2,newton-cg,"{'C': 8, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9910846953937593,0.9940564635958395,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937544222741103,0.001970853127600507,3,0.9825072886297376,0.9882352941176471,0.9940476190476191,0.9910979228486647,0.9940828402366864,0.9899941929760709,0.004324649832210929,3,1.0,1.0,0.9940476190476191,0.9940298507462687,1.0,0.9976154939587776,0.0029204169500591506,3,1.0,1.0,0.9940476190476191,0.9940476190476191,1.0,0.9976190476190476,0.0029160592175990112,3,0.9821428571428571,0.9881305637982196,0.9940476190476191,0.9910714285714286,0.9940476190476191,0.9898880175215489,0.004451543199962217,55,0.9963768115942029,0.9976033553025764,0.9940476190476191,0.9934367541766109,0.9988038277511961,0.9960536735744411,0.0020465483885595327,3,0.9910714285714286,0.9940652818991098,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937535325702982,0.0019747265448351614,3,0.9910581617490979,0.9940741002023801,0.9911068594104309,0.9896188699360342,0.9970238095238095,0.9925763601643505,0.0026545861587411955,3,0.9910714285714286,0.9940652818991098,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9937535325702982,0.0019747265448351614,3
215,0.14051265716552735,0.15722261231324144,0.06204137802124023,0.017035994661022583,4,False,True,500,-1,l2,lbfgs,"{'C': 4, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9910846953937593,0.9925705794947994,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9934572454539022,0.0020144475523881556,8,0.9825072886297376,0.9853372434017595,0.9940476190476191,0.9910979228486647,0.9940828402366864,0.9894145828328934,0.004699504131487775,13,1.0,1.0,0.9940476190476191,0.9940298507462687,1.0,0.9976154939587776,0.0029204169500591506,3,1.0,1.0,0.9940476190476191,0.9940476190476191,1.0,0.9976190476190476,0.0029160592175990112,3,0.9821428571428571,0.9851632047477745,0.9940476190476191,0.9910714285714286,0.9940476190476191,0.9892945457114596,0.004828153943618076,62,0.9963768115942029,0.996996996996997,0.9940476190476191,0.9934367541766109,0.9988038277511961,0.9959324019133252,0.00196756769010142,8,0.9910714285714286,0.9925816023738873,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9934567966652537,0.0020166157982578316,8,0.9910581617490979,0.9925926252529751,0.9911068594104309,0.9896188699360342,0.9970238095238095,0.9922800651744694,0.002551557332193418,8,0.9910714285714286,0.9925816023738873,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9934567966652537,0.0020166157982578316,8
337,0.4370090484619141,0.24435254210158902,0.07935314178466797,0.02614736762246376,6,False,True,500,-1,l2,newton-cholesky,"{'C': 6, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.9910846953937593,0.9925705794947994,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9934572454539022,0.0020144475523881556,8,0.9825072886297376,0.9853372434017595,0.9940476190476191,0.9910979228486647,0.9940828402366864,0.9894145828328934,0.004699504131487775,13,1.0,1.0,0.9940476190476191,0.9940298507462687,1.0,0.9976154939587776,0.0029204169500591506,3,1.0,1.0,0.9940476190476191,0.9940476190476191,1.0,0.9976190476190476,0.0029160592175990112,3,0.9821428571428571,0.9851632047477745,0.9940476190476191,0.9910714285714286,0.9940476190476191,0.9892945457114596,0.004828153943618076,62,0.9963768115942029,0.996996996996997,0.9940476190476191,0.9934367541766109,0.9988038277511961,0.9959324019133252,0.00196756769010142,8,0.9910714285714286,0.9925816023738873,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9934567966652537,0.0020166157982578316,8,0.9910581617490979,0.9925926252529751,0.9911068594104309,0.9896188699360342,0.9970238095238095,0.9922800651744694,0.002551557332193418,8,0.9910714285714286,0.9925816023738873,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9934567966652537,0.0020166157982578316,8
216,0.07598533630371093,0.012086011825928491,0.06512656211853027,0.01016770004040756,4,False,True,500,-1,l2,newton-cg,"{'C': 4, 'dual': False, 'fit_intercept': True, 'max_iter': 500, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9910846953937593,0.9925705794947994,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9934572454539022,0.0020144475523881556,8,0.9825072886297376,0.9853372434017595,0.9940476190476191,0.9910979228486647,0.9940828402366864,0.9894145828328934,0.004699504131487775,13,1.0,1.0,0.9940476190476191,0.9940298507462687,1.0,0.9976154939587776,0.0029204169500591506,3,1.0,1.0,0.9940476190476191,0.9940476190476191,1.0,0.9976190476190476,0.0029160592175990112,3,0.9821428571428571,0.9851632047477745,0.9940476190476191,0.9910714285714286,0.9940476190476191,0.9892945457114596,0.004828153943618076,62,0.9963768115942029,0.996996996996997,0.9940476190476191,0.9934367541766109,0.9988038277511961,0.9959324019133252,0.00196756769010142,8,0.9910714285714286,0.9925816023738873,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9934567966652537,0.0020166157982578316,8,0.9910581617490979,0.9925926252529751,0.9911068594104309,0.9896188699360342,0.9970238095238095,0.9922800651744694,0.002551557332193418,8,0.9910714285714286,0.9925816023738873,0.9940476190476191,0.9925595238095238,0.9970238095238095,0.9934567966652537,0.0020166157982578316,8
