,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score,split0_test_precision_0,split1_test_precision_0,split2_test_precision_0,split3_test_precision_0,split4_test_precision_0,mean_test_precision_0,std_test_precision_0,rank_test_precision_0,split0_test_precision_1,split1_test_precision_1,split2_test_precision_1,split3_test_precision_1,split4_test_precision_1,mean_test_precision_1,std_test_precision_1,rank_test_precision_1,split0_test_recall_0,split1_test_recall_0,split2_test_recall_0,split3_test_recall_0,split4_test_recall_0,mean_test_recall_0,std_test_recall_0,rank_test_recall_0,split0_test_recall_1,split1_test_recall_1,split2_test_recall_1,split3_test_recall_1,split4_test_recall_1,mean_test_recall_1,std_test_recall_1,rank_test_recall_1,split0_test_fbeta_score,split1_test_fbeta_score,split2_test_fbeta_score,split3_test_fbeta_score,split4_test_fbeta_score,mean_test_fbeta_score,std_test_fbeta_score,rank_test_fbeta_score,split0_test_balanced_accuracy_score,split1_test_balanced_accuracy_score,split2_test_balanced_accuracy_score,split3_test_balanced_accuracy_score,split4_test_balanced_accuracy_score,mean_test_balanced_accuracy_score,std_test_balanced_accuracy_score,rank_test_balanced_accuracy_score,split0_test_average_precision_score,split1_test_average_precision_score,split2_test_average_precision_score,split3_test_average_precision_score,split4_test_average_precision_score,mean_test_average_precision_score,std_test_average_precision_score,rank_test_average_precision_score,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
152,0.03455967903137207,0.002828652029460776,0.05443000793457031,0.007417186712827421,gini,4,3,3,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 3, 'splitter': 'best'}",0.9970282317979198,0.9955423476968797,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952403063751504,0.0025609883828416275,1,0.9970326409495549,1.0,0.9969879518072289,0.9940476190476191,1.0,0.9976136423608807,0.0022286758015998306,193,0.9970238095238095,0.9911764705882353,0.9852941176470589,0.9940476190476191,0.9970326409495549,0.9929149315512555,0.004386808428207072,1,0.9970326409495549,0.9910714285714286,0.9851190476190477,0.9940476190476191,0.9970238095238095,0.9928589091422919,0.004456007334288349,1,0.9970238095238095,1.0,0.9970238095238095,0.9940476190476191,1.0,0.9976190476190476,0.002227177015936862,193,0.9970238095238095,0.9929286977018268,0.9876179245283019,0.9940476190476191,0.997624703087886,0.9938485507778887,0.003579051709362099,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1,0.9955423608584097,0.9911764705882353,0.9838497899159664,0.9911068594104309,0.9970326409495549,0.9917416243445194,0.00459225066171841,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1
150,0.03334541320800781,0.0036176624858429898,0.050325632095336914,0.00730062701863831,gini,4,3,2,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 2, 'splitter': 'best'}",0.9970282317979198,0.9955423476968797,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952403063751504,0.0025609883828416275,1,0.9970326409495549,1.0,0.9969879518072289,0.9940476190476191,1.0,0.9976136423608807,0.0022286758015998306,193,0.9970238095238095,0.9911764705882353,0.9852941176470589,0.9940476190476191,0.9970326409495549,0.9929149315512555,0.004386808428207072,1,0.9970326409495549,0.9910714285714286,0.9851190476190477,0.9940476190476191,0.9970238095238095,0.9928589091422919,0.004456007334288349,1,0.9970238095238095,1.0,0.9970238095238095,0.9940476190476191,1.0,0.9976190476190476,0.002227177015936862,193,0.9970238095238095,0.9929286977018268,0.9876179245283019,0.9940476190476191,0.997624703087886,0.9938485507778887,0.003579051709362099,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1,0.9955423608584097,0.9911764705882353,0.9838497899159664,0.9911068594104309,0.9970326409495549,0.9917416243445194,0.00459225066171841,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1
166,0.03879537582397461,0.005622317908850684,0.0428654670715332,0.005560957827544812,gini,4,5,4,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 4, 'splitter': 'best'}",0.9970282317979198,0.9955423476968797,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952403063751504,0.0025609883828416275,1,0.9970326409495549,1.0,0.9969879518072289,0.9940476190476191,1.0,0.9976136423608807,0.0022286758015998306,193,0.9970238095238095,0.9911764705882353,0.9852941176470589,0.9940476190476191,0.9970326409495549,0.9929149315512555,0.004386808428207072,1,0.9970326409495549,0.9910714285714286,0.9851190476190477,0.9940476190476191,0.9970238095238095,0.9928589091422919,0.004456007334288349,1,0.9970238095238095,1.0,0.9970238095238095,0.9940476190476191,1.0,0.9976190476190476,0.002227177015936862,193,0.9970238095238095,0.9929286977018268,0.9876179245283019,0.9940476190476191,0.997624703087886,0.9938485507778887,0.003579051709362099,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1,0.9955423608584097,0.9911764705882353,0.9838497899159664,0.9911068594104309,0.9970326409495549,0.9917416243445194,0.00459225066171841,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1
170,0.04177966117858887,0.005409344144133118,0.055352640151977536,0.0037020660748157113,gini,4,6,3,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 6, 'min_samples_split': 3, 'splitter': 'best'}",0.9970282317979198,0.9955423476968797,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952403063751504,0.0025609883828416275,1,0.9970326409495549,1.0,0.9969879518072289,0.9940476190476191,1.0,0.9976136423608807,0.0022286758015998306,193,0.9970238095238095,0.9911764705882353,0.9852941176470589,0.9940476190476191,0.9970326409495549,0.9929149315512555,0.004386808428207072,1,0.9970326409495549,0.9910714285714286,0.9851190476190477,0.9940476190476191,0.9970238095238095,0.9928589091422919,0.004456007334288349,1,0.9970238095238095,1.0,0.9970238095238095,0.9940476190476191,1.0,0.9976190476190476,0.002227177015936862,193,0.9970238095238095,0.9929286977018268,0.9876179245283019,0.9940476190476191,0.997624703087886,0.9938485507778887,0.003579051709362099,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1,0.9955423608584097,0.9911764705882353,0.9838497899159664,0.9911068594104309,0.9970326409495549,0.9917416243445194,0.00459225066171841,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1
172,0.032129859924316405,0.0026360860689235524,0.04549951553344726,0.006364424766389935,gini,4,6,4,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 6, 'min_samples_split': 4, 'splitter': 'best'}",0.9970282317979198,0.9955423476968797,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952403063751504,0.0025609883828416275,1,0.9970326409495549,1.0,0.9969879518072289,0.9940476190476191,1.0,0.9976136423608807,0.0022286758015998306,193,0.9970238095238095,0.9911764705882353,0.9852941176470589,0.9940476190476191,0.9970326409495549,0.9929149315512555,0.004386808428207072,1,0.9970326409495549,0.9910714285714286,0.9851190476190477,0.9940476190476191,0.9970238095238095,0.9928589091422919,0.004456007334288349,1,0.9970238095238095,1.0,0.9970238095238095,0.9940476190476191,1.0,0.9976190476190476,0.002227177015936862,193,0.9970238095238095,0.9929286977018268,0.9876179245283019,0.9940476190476191,0.997624703087886,0.9938485507778887,0.003579051709362099,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1,0.9955423608584097,0.9911764705882353,0.9838497899159664,0.9911068594104309,0.9970326409495549,0.9917416243445194,0.00459225066171841,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1
164,0.03979315757751465,0.006456236414497016,0.05324997901916504,0.005254791361682923,gini,4,5,3,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 3, 'splitter': 'best'}",0.9970282317979198,0.9955423476968797,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952403063751504,0.0025609883828416275,1,0.9970326409495549,1.0,0.9969879518072289,0.9940476190476191,1.0,0.9976136423608807,0.0022286758015998306,193,0.9970238095238095,0.9911764705882353,0.9852941176470589,0.9940476190476191,0.9970326409495549,0.9929149315512555,0.004386808428207072,1,0.9970326409495549,0.9910714285714286,0.9851190476190477,0.9940476190476191,0.9970238095238095,0.9928589091422919,0.004456007334288349,1,0.9970238095238095,1.0,0.9970238095238095,0.9940476190476191,1.0,0.9976190476190476,0.002227177015936862,193,0.9970238095238095,0.9929286977018268,0.9876179245283019,0.9940476190476191,0.997624703087886,0.9938485507778887,0.003579051709362099,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1,0.9955423608584097,0.9911764705882353,0.9838497899159664,0.9911068594104309,0.9970326409495549,0.9917416243445194,0.00459225066171841,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1
174,0.05227317810058594,0.011806531298639785,0.05268111228942871,0.008913367023541958,gini,4,7,2,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 2, 'splitter': 'best'}",0.9970282317979198,0.9955423476968797,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952403063751504,0.0025609883828416275,1,0.9970326409495549,1.0,0.9969879518072289,0.9940476190476191,1.0,0.9976136423608807,0.0022286758015998306,193,0.9970238095238095,0.9911764705882353,0.9852941176470589,0.9940476190476191,0.9970326409495549,0.9929149315512555,0.004386808428207072,1,0.9970326409495549,0.9910714285714286,0.9851190476190477,0.9940476190476191,0.9970238095238095,0.9928589091422919,0.004456007334288349,1,0.9970238095238095,1.0,0.9970238095238095,0.9940476190476191,1.0,0.9976190476190476,0.002227177015936862,193,0.9970238095238095,0.9929286977018268,0.9876179245283019,0.9940476190476191,0.997624703087886,0.9938485507778887,0.003579051709362099,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1,0.9955423608584097,0.9911764705882353,0.9838497899159664,0.9911068594104309,0.9970326409495549,0.9917416243445194,0.00459225066171841,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1
162,0.047610807418823245,0.0032684638691279798,0.04795093536376953,0.004953358621313553,gini,4,5,2,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 2, 'splitter': 'best'}",0.9970282317979198,0.9955423476968797,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952403063751504,0.0025609883828416275,1,0.9970326409495549,1.0,0.9969879518072289,0.9940476190476191,1.0,0.9976136423608807,0.0022286758015998306,193,0.9970238095238095,0.9911764705882353,0.9852941176470589,0.9940476190476191,0.9970326409495549,0.9929149315512555,0.004386808428207072,1,0.9970326409495549,0.9910714285714286,0.9851190476190477,0.9940476190476191,0.9970238095238095,0.9928589091422919,0.004456007334288349,1,0.9970238095238095,1.0,0.9970238095238095,0.9940476190476191,1.0,0.9976190476190476,0.002227177015936862,193,0.9970238095238095,0.9929286977018268,0.9876179245283019,0.9940476190476191,0.997624703087886,0.9938485507778887,0.003579051709362099,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1,0.9955423608584097,0.9911764705882353,0.9838497899159664,0.9911068594104309,0.9970326409495549,0.9917416243445194,0.00459225066171841,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1
144,0.0412076473236084,0.005343414009492605,0.045755624771118164,0.005286818232167189,gini,4,2,2,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",0.9970282317979198,0.9955423476968797,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952403063751504,0.0025609883828416275,1,0.9970326409495549,1.0,0.9969879518072289,0.9940476190476191,1.0,0.9976136423608807,0.0022286758015998306,193,0.9970238095238095,0.9911764705882353,0.9852941176470589,0.9940476190476191,0.9970326409495549,0.9929149315512555,0.004386808428207072,1,0.9970326409495549,0.9910714285714286,0.9851190476190477,0.9940476190476191,0.9970238095238095,0.9928589091422919,0.004456007334288349,1,0.9970238095238095,1.0,0.9970238095238095,0.9940476190476191,1.0,0.9976190476190476,0.002227177015936862,193,0.9970238095238095,0.9929286977018268,0.9876179245283019,0.9940476190476191,0.997624703087886,0.9938485507778887,0.003579051709362099,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1,0.9955423608584097,0.9911764705882353,0.9838497899159664,0.9911068594104309,0.9970326409495549,0.9917416243445194,0.00459225066171841,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1
160,0.04010004997253418,0.011774036112400138,0.050247812271118165,0.010310711413693219,gini,4,4,4,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 4, 'splitter': 'best'}",0.9970282317979198,0.9955423476968797,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952403063751504,0.0025609883828416275,1,0.9970326409495549,1.0,0.9969879518072289,0.9940476190476191,1.0,0.9976136423608807,0.0022286758015998306,193,0.9970238095238095,0.9911764705882353,0.9852941176470589,0.9940476190476191,0.9970326409495549,0.9929149315512555,0.004386808428207072,1,0.9970326409495549,0.9910714285714286,0.9851190476190477,0.9940476190476191,0.9970238095238095,0.9928589091422919,0.004456007334288349,1,0.9970238095238095,1.0,0.9970238095238095,0.9940476190476191,1.0,0.9976190476190476,0.002227177015936862,193,0.9970238095238095,0.9929286977018268,0.9876179245283019,0.9940476190476191,0.997624703087886,0.9938485507778887,0.003579051709362099,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1,0.9955423608584097,0.9911764705882353,0.9838497899159664,0.9911068594104309,0.9970326409495549,0.9917416243445194,0.00459225066171841,1,0.9970282252366822,0.9955357142857143,0.9910714285714286,0.9940476190476191,0.9985119047619048,0.9952389783806698,0.002560832367767564,1
