,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,params,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score,split0_test_precision_0,split1_test_precision_0,split2_test_precision_0,split3_test_precision_0,split4_test_precision_0,mean_test_precision_0,std_test_precision_0,rank_test_precision_0,split0_test_precision_1,split1_test_precision_1,split2_test_precision_1,split3_test_precision_1,split4_test_precision_1,mean_test_precision_1,std_test_precision_1,rank_test_precision_1,split0_test_recall_0,split1_test_recall_0,split2_test_recall_0,split3_test_recall_0,split4_test_recall_0,mean_test_recall_0,std_test_recall_0,rank_test_recall_0,split0_test_recall_1,split1_test_recall_1,split2_test_recall_1,split3_test_recall_1,split4_test_recall_1,mean_test_recall_1,std_test_recall_1,rank_test_recall_1,split0_test_fbeta_score,split1_test_fbeta_score,split2_test_fbeta_score,split3_test_fbeta_score,split4_test_fbeta_score,mean_test_fbeta_score,std_test_fbeta_score,rank_test_fbeta_score,split0_test_balanced_accuracy_score,split1_test_balanced_accuracy_score,split2_test_balanced_accuracy_score,split3_test_balanced_accuracy_score,split4_test_balanced_accuracy_score,mean_test_balanced_accuracy_score,std_test_balanced_accuracy_score,rank_test_balanced_accuracy_score,split0_test_average_precision_score,split1_test_average_precision_score,split2_test_average_precision_score,split3_test_average_precision_score,split4_test_average_precision_score,mean_test_average_precision_score,std_test_average_precision_score,rank_test_average_precision_score,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,0.7019020080566406,0.03207608571422793,0.04984812736511231,0.01092909293897745,gbtree,0.1,"{'booster': 'gbtree', 'learning_rate': 0.1}",0.7458100558659218,0.7450980392156863,0.8151260504201681,0.8263305322128851,0.8823529411764706,0.8029435237782263,0.05217577010527854,1,0.7075471698113207,0.7115384615384616,0.9064748201438849,0.9328358208955224,0.9722222222222222,0.8461236989222825,0.11347134268204699,6,0.8013698630136986,0.7919463087248322,0.7568807339449541,0.7623318385650224,0.8215962441314554,0.7868249976759926,0.024262705076915015,1,0.8379888268156425,0.8268156424581006,0.7039106145251397,0.702247191011236,0.7865168539325843,0.7714958257485407,0.05843007237456941,1,0.6536312849162011,0.6629213483146067,0.9269662921348315,0.9497206703910615,0.9776536312849162,0.8341786454083234,0.14454825469922586,6,0.7667103538663171,0.7622739018087855,0.7857142857142857,0.7936507936507936,0.8486905916585838,0.7914079853397531,0.030911205783050004,1,0.7458100558659218,0.7448684953863536,0.8154384533299857,0.8259839307011487,0.8820852426087502,0.802837235578432,0.05212922571384129,1,0.6969847707966633,0.6930653416633978,0.7380174933595746,0.749212388816037,0.814441033317883,0.7383442055907112,0.04397665222063031,1,0.7458100558659219,0.7448684953863537,0.8154384533299857,0.8259839307011488,0.8820852426087503,0.802837235578432,0.052129225713841286,1
6,8.10756187438965,0.14628010796293822,0.1310887336730957,0.013960665487354092,dart,0.1,"{'booster': 'dart', 'learning_rate': 0.1}",0.7458100558659218,0.7450980392156863,0.8151260504201681,0.8263305322128851,0.8823529411764706,0.8029435237782263,0.05217577010527854,1,0.7075471698113207,0.7115384615384616,0.9064748201438849,0.9328358208955224,0.9722222222222222,0.8461236989222825,0.11347134268204699,6,0.8013698630136986,0.7919463087248322,0.7568807339449541,0.7623318385650224,0.8215962441314554,0.7868249976759926,0.024262705076915015,1,0.8379888268156425,0.8268156424581006,0.7039106145251397,0.702247191011236,0.7865168539325843,0.7714958257485407,0.05843007237456941,1,0.6536312849162011,0.6629213483146067,0.9269662921348315,0.9497206703910615,0.9776536312849162,0.8341786454083234,0.14454825469922586,6,0.7667103538663171,0.7622739018087855,0.7857142857142857,0.7936507936507936,0.8486905916585838,0.7914079853397531,0.030911205783050004,1,0.7458100558659218,0.7448684953863536,0.8154384533299857,0.8259839307011487,0.8820852426087502,0.802837235578432,0.05212922571384129,1,0.6969847707966633,0.6930653416633978,0.7380174933595746,0.749212388816037,0.814441033317883,0.7383442055907112,0.04397665222063031,1,0.7458100558659219,0.7448684953863537,0.8154384533299857,0.8259839307011488,0.8820852426087503,0.802837235578432,0.052129225713841286,1
2,0.7819713115692138,0.026955343934517824,0.04718990325927734,0.004402979265587045,gbtree,0.05,"{'booster': 'gbtree', 'learning_rate': 0.05}",0.7653631284916201,0.7619047619047619,0.7787114845938375,0.8123249299719888,0.8319327731092437,0.7900474156142905,0.027497262187740918,3,0.7777777777777778,0.7473684210526316,0.8676470588235294,0.937007874015748,0.927536231884058,0.851467472710749,0.07698334765363454,4,0.7540106951871658,0.7784431137724551,0.7239819004524887,0.7434782608695653,0.771689497716895,0.754320693599714,0.01960440423784911,3,0.7430167597765364,0.7932960893854749,0.659217877094972,0.6685393258426966,0.7191011235955056,0.7166342351390371,0.04937392330506961,3,0.7877094972067039,0.7303370786516854,0.898876404494382,0.9553072625698324,0.9441340782122905,0.8632728642269789,0.08905978217696603,4,0.7605177993527508,0.7683215130023641,0.7532956685499058,0.7779799818016379,0.8009478672985783,0.7722125660010473,0.016545316529159904,3,0.7653631284916201,0.7618165840185802,0.7790471407946771,0.8119232942062645,0.831617600903898,0.7899535496830079,0.027327240052975044,3,0.7000866369910077,0.7029796511217015,0.7011904156649695,0.7326591457569183,0.7565895570748388,0.718701081321887,0.02249732639532777,3,0.76536312849162,0.7618165840185801,0.7790471407946772,0.8119232942062644,0.831617600903898,0.7899535496830079,0.027327240052975058,3
8,8.438965320587158,0.07856598249262256,0.07856712341308594,0.020848263537290447,dart,0.05,"{'booster': 'dart', 'learning_rate': 0.05}",0.7653631284916201,0.7619047619047619,0.7787114845938375,0.8123249299719888,0.8319327731092437,0.7900474156142905,0.027497262187740918,3,0.7777777777777778,0.7473684210526316,0.8676470588235294,0.937007874015748,0.927536231884058,0.851467472710749,0.07698334765363454,4,0.7540106951871658,0.7784431137724551,0.7239819004524887,0.7434782608695653,0.771689497716895,0.754320693599714,0.01960440423784911,3,0.7430167597765364,0.7932960893854749,0.659217877094972,0.6685393258426966,0.7191011235955056,0.7166342351390371,0.04937392330506961,3,0.7877094972067039,0.7303370786516854,0.898876404494382,0.9553072625698324,0.9441340782122905,0.8632728642269789,0.08905978217696603,4,0.7605177993527508,0.7683215130023641,0.7532956685499058,0.7779799818016379,0.8009478672985783,0.7722125660010473,0.016545316529159904,3,0.7653631284916201,0.7618165840185802,0.7790471407946771,0.8119232942062645,0.831617600903898,0.7899535496830079,0.027327240052975044,3,0.7000866369910077,0.7029796511217015,0.7011904156649695,0.7326591457569183,0.7565895570748388,0.718701081321887,0.02249732639532777,3,0.76536312849162,0.7618165840185801,0.7790471407946772,0.8119232942062644,0.831617600903898,0.7899535496830079,0.027327240052975058,3
3,0.1939208984375,0.06839777142668182,0.041940832138061525,0.004635249699643066,gblinear,0.1,"{'booster': 'gblinear', 'learning_rate': 0.1}",0.6871508379888268,0.7198879551820728,0.7282913165266106,0.7198879551820728,0.7086834733893558,0.7127803076537879,0.014249789256847556,8,0.7248322147651006,0.7365269461077845,0.735632183908046,0.756578947368421,0.7202380952380952,0.7347616774774894,0.012564998138461146,9,0.6602870813397129,0.7052631578947368,0.7213114754098361,0.6926829268292682,0.6984126984126984,0.6955914679772505,0.020089196284691975,5,0.6033519553072626,0.6871508379888268,0.7150837988826816,0.6460674157303371,0.6797752808988764,0.6662858577615969,0.038387530450444955,5,0.770949720670391,0.7528089887640449,0.7415730337078652,0.7932960893854749,0.7374301675977654,0.7592116000251082,0.020620762073769935,9,0.6798029556650246,0.7142857142857143,0.7252747252747253,0.7107107107107107,0.7058823529411765,0.7071912917754704,0.015110009816596605,5,0.6871508379888268,0.7199799133764359,0.7283284162952735,0.719681752557906,0.7086027242483208,0.7127487288933526,0.0142514903008762,8,0.6235732805859239,0.6541777444271617,0.6637566796842148,0.6531441136203766,0.6466832543073094,0.6482670145249974,0.01349771345516006,5,0.6871508379888269,0.7199799133764359,0.7283284162952733,0.7196817525579059,0.7086027242483208,0.7127487288933525,0.014251490300876125,8
5,0.26889958381652834,0.012798708787957577,0.044569778442382815,0.0038840283458182953,gblinear,0.05,"{'booster': 'gblinear', 'learning_rate': 0.05}",0.6927374301675978,0.6974789915966386,0.7282913165266106,0.7226890756302521,0.7310924369747899,0.7144578501791778,0.01609897900935354,7,0.7518248175182481,0.7448275862068966,0.7628205128205128,0.7925925925925926,0.7628205128205128,0.7629772043917527,0.01631505253448986,8,0.6561085972850679,0.6650943396226415,0.7014925373134329,0.6801801801801802,0.7064676616915423,0.6818686632185729,0.019687646199251715,6,0.5754189944134078,0.6033519553072626,0.664804469273743,0.601123595505618,0.6685393258426966,0.6226476680685457,0.0372810890050115,6,0.8100558659217877,0.7921348314606742,0.7921348314606742,0.8435754189944135,0.7932960893854749,0.8062394074446049,0.01986932672995363,8,0.6820319849482597,0.6871345029239766,0.7179226069246436,0.7075913776944704,0.7222787385554426,0.7033918422093587,0.01616192227393728,6,0.6927374301675977,0.6977433933839684,0.7284696503672086,0.7223495072500157,0.7309177076140858,0.7144435377565752,0.01600427686477379,7,0.6264566849515913,0.6304858492050626,0.6593181293983299,0.6522146530362107,0.6640794898798342,0.6465109612942057,0.01525901089910288,6,0.6927374301675978,0.6977433933839684,0.7284696503672087,0.7223495072500157,0.7309177076140858,0.7144435377565752,0.016004276864773778,7
1,0.7698969841003418,0.037420395404891595,0.04835686683654785,0.006565139647468613,gbtree,0.01,"{'booster': 'gbtree', 'learning_rate': 0.01}",0.6927374301675978,0.7170868347338936,0.7254901960784313,0.7338935574229691,0.7198879551820728,0.717819194716993,0.013792319835390166,5,0.7899159663865546,0.7635135135135135,0.8715596330275229,0.9278350515463918,0.9642857142857143,0.8634219757519395,0.07716682420563574,2,0.6443514644351465,0.6842105263157895,0.6612903225806451,0.6615384615384615,0.6446886446886447,0.6592158839117375,0.014604255936888234,7,0.5251396648044693,0.6312849162011173,0.5307262569832403,0.5056179775280899,0.4550561797752809,0.5295649990584395,0.05743326150913931,7,0.8603351955307262,0.8033707865168539,0.9213483146067416,0.9608938547486033,0.9832402234636871,0.9058376749733226,0.06608003670014621,2,0.6784140969162996,0.7051282051282052,0.7008547008547008,0.7054963084495488,0.6923682140047207,0.696452305070695,0.01018334994802912,7,0.6927374301675977,0.7173278513589856,0.7260372857949909,0.7332559161383466,0.719148201619484,0.717701337015881,0.013688407705586648,5,0.6241906453799584,0.6477139643557008,0.6484944104499356,0.6552760855094079,0.6422871684127024,0.643592454821541,0.010541889945260929,7,0.6927374301675978,0.7173278513589857,0.7260372857949909,0.7332559161383467,0.719148201619484,0.717701337015881,0.01368840770558663,5
7,8.213692951202393,0.5175465577607377,0.13747196197509765,0.04203087875058507,dart,0.01,"{'booster': 'dart', 'learning_rate': 0.01}",0.6927374301675978,0.7170868347338936,0.7254901960784313,0.7338935574229691,0.7198879551820728,0.717819194716993,0.013792319835390166,5,0.7899159663865546,0.7635135135135135,0.8715596330275229,0.9278350515463918,0.9642857142857143,0.8634219757519395,0.07716682420563574,2,0.6443514644351465,0.6842105263157895,0.6612903225806451,0.6615384615384615,0.6446886446886447,0.6592158839117375,0.014604255936888234,7,0.5251396648044693,0.6312849162011173,0.5307262569832403,0.5056179775280899,0.4550561797752809,0.5295649990584395,0.05743326150913931,7,0.8603351955307262,0.8033707865168539,0.9213483146067416,0.9608938547486033,0.9832402234636871,0.9058376749733226,0.06608003670014621,2,0.6784140969162996,0.7051282051282052,0.7008547008547008,0.7054963084495488,0.6923682140047207,0.696452305070695,0.01018334994802912,7,0.6927374301675977,0.7173278513589856,0.7260372857949909,0.7332559161383466,0.719148201619484,0.717701337015881,0.013688407705586648,5,0.6241906453799584,0.6477139643557008,0.6484944104499356,0.6552760855094079,0.6422871684127024,0.643592454821541,0.010541889945260929,7,0.6927374301675978,0.7173278513589857,0.7260372857949909,0.7332559161383467,0.719148201619484,0.717701337015881,0.01368840770558663,5
4,0.2365664005279541,0.017562802890986374,0.040134429931640625,0.003902778730984464,gblinear,0.01,"{'booster': 'gblinear', 'learning_rate': 0.01}",0.6201117318435754,0.6106442577030813,0.6498599439775911,0.6610644257703081,0.6386554621848739,0.636067164295886,0.018561805638986437,9,0.8524590163934426,0.8703703703703703,0.9354838709677419,0.9672131147540983,0.9016393442622951,0.9054331433495897,0.04188044933950758,1,0.5723905723905723,0.5643564356435643,0.5898305084745763,0.597972972972973,0.5844594594594594,0.5818019897882291,0.012049415681759457,9,0.2905027932960894,0.26256983240223464,0.3240223463687151,0.33146067415730335,0.3089887640449438,0.3035088820538573,0.024808458790422303,9,0.9497206703910615,0.9606741573033708,0.9775280898876404,0.9888268156424581,0.9664804469273743,0.968646036030381,0.013509736027455458,1,0.6217995610826628,0.6151079136690647,0.6406480117820325,0.6493030080704328,0.6346294937637564,0.6322975976735898,0.012410037440416842,9,0.6201117318435754,0.6116219948528028,0.6507752181281777,0.6601437448998807,0.637734605486159,0.6360774590421191,0.018171023885128552,9,0.5687508229407671,0.5617704863678701,0.5877803720993254,0.5968939516014771,0.5816753622783856,0.579374199057565,0.01269368068888665,9,0.6201117318435754,0.6116219948528028,0.6507752181281777,0.6601437448998808,0.6377346054861591,0.6360774590421192,0.018171023885128583,9
