,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,params,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score,split0_test_precision_0,split1_test_precision_0,split2_test_precision_0,split3_test_precision_0,split4_test_precision_0,mean_test_precision_0,std_test_precision_0,rank_test_precision_0,split0_test_precision_1,split1_test_precision_1,split2_test_precision_1,split3_test_precision_1,split4_test_precision_1,mean_test_precision_1,std_test_precision_1,rank_test_precision_1,split0_test_recall_0,split1_test_recall_0,split2_test_recall_0,split3_test_recall_0,split4_test_recall_0,mean_test_recall_0,std_test_recall_0,rank_test_recall_0,split0_test_recall_1,split1_test_recall_1,split2_test_recall_1,split3_test_recall_1,split4_test_recall_1,mean_test_recall_1,std_test_recall_1,rank_test_recall_1,split0_test_fbeta_score,split1_test_fbeta_score,split2_test_fbeta_score,split3_test_fbeta_score,split4_test_fbeta_score,mean_test_fbeta_score,std_test_fbeta_score,rank_test_fbeta_score,split0_test_balanced_accuracy_score,split1_test_balanced_accuracy_score,split2_test_balanced_accuracy_score,split3_test_balanced_accuracy_score,split4_test_balanced_accuracy_score,mean_test_balanced_accuracy_score,std_test_balanced_accuracy_score,rank_test_balanced_accuracy_score,split0_test_average_precision_score,split1_test_average_precision_score,split2_test_average_precision_score,split3_test_average_precision_score,split4_test_average_precision_score,mean_test_average_precision_score,std_test_average_precision_score,rank_test_average_precision_score,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,0.5277936458587646,0.013411352892416016,0.05031166076660156,0.004346413851747115,gbtree,0.1,"{'booster': 'gbtree', 'learning_rate': 0.1}",0.6955307262569832,0.6974789915966386,0.8375350140056023,0.8319327731092437,0.8907563025210085,0.7906467614978953,0.07956413349013639,3,0.6590909090909091,0.6510638297872341,0.8711656441717791,0.8782051282051282,0.986013986013986,0.8091078994538072,0.13221526350383705,6,0.7536231884057971,0.7868852459016393,0.8092783505154639,0.7960199004975125,0.8271028037383178,0.794581897811746,0.02454594558336727,1,0.8100558659217877,0.8547486033519553,0.7932960893854749,0.7696629213483146,0.7921348314606742,0.8039796622936415,0.028448139072240357,1,0.5810055865921788,0.5393258426966292,0.8820224719101124,0.8938547486033519,0.9888268156424581,0.777007093088946,0.18136050649900085,6,0.7113543091655267,0.7207207207207207,0.8228511530398323,0.8138351983723296,0.855072463768116,0.7847667690133051,0.05784387637396887,3,0.6955307262569832,0.6970372230242923,0.8376592806477936,0.8317588349758332,0.8904808235515662,0.7904933776912937,0.07959511003678793,3,0.6473564893530888,0.6540794251021462,0.7726252205967526,0.7647474565578755,0.8234636725258683,0.7324544528271463,0.06974742303719807,1,0.6955307262569832,0.6970372230242924,0.8376592806477936,0.8317588349758331,0.8904808235515661,0.7904933776912937,0.07959511003678787,3
6,7.191502571105957,0.11262968295176812,0.16386151313781738,0.00807286032965347,dart,0.1,"{'booster': 'dart', 'learning_rate': 0.1}",0.6955307262569832,0.6974789915966386,0.8375350140056023,0.8319327731092437,0.8907563025210085,0.7906467614978953,0.07956413349013639,3,0.6590909090909091,0.6510638297872341,0.8711656441717791,0.8782051282051282,0.986013986013986,0.8091078994538072,0.13221526350383705,6,0.7536231884057971,0.7868852459016393,0.8092783505154639,0.7960199004975125,0.8271028037383178,0.794581897811746,0.02454594558336727,1,0.8100558659217877,0.8547486033519553,0.7932960893854749,0.7696629213483146,0.7921348314606742,0.8039796622936415,0.028448139072240357,1,0.5810055865921788,0.5393258426966292,0.8820224719101124,0.8938547486033519,0.9888268156424581,0.777007093088946,0.18136050649900085,6,0.7113543091655267,0.7207207207207207,0.8228511530398323,0.8138351983723296,0.855072463768116,0.7847667690133051,0.05784387637396887,3,0.6955307262569832,0.6970372230242923,0.8376592806477936,0.8317588349758332,0.8904808235515662,0.7904933776912937,0.07959511003678793,3,0.6473564893530888,0.6540794251021462,0.7726252205967526,0.7647474565578755,0.8234636725258683,0.7324544528271463,0.06974742303719807,1,0.6955307262569832,0.6970372230242924,0.8376592806477936,0.8317588349758331,0.8904808235515661,0.7904933776912937,0.07959511003678787,3
2,1.0773419380187987,0.04994948863999337,0.040540218353271484,0.002341537042810848,gbtree,0.05,"{'booster': 'gbtree', 'learning_rate': 0.05}",0.7262569832402235,0.7226890756302521,0.8291316526610645,0.8011204481792717,0.896358543417367,0.7951113406256357,0.06546815115114937,1,0.6995073891625616,0.698019801980198,0.8641975308641975,0.8496732026143791,1.0,0.8222795849242672,0.11367108350510559,4,0.7612903225806451,0.7548387096774194,0.8,0.7647058823529411,0.8287037037037037,0.7819077236629419,0.02818122176564745,3,0.7932960893854749,0.7877094972067039,0.7821229050279329,0.7303370786516854,0.7921348314606742,0.7771200803464943,0.02371885018823191,3,0.659217877094972,0.6573033707865169,0.8764044943820225,0.8715083798882681,1.0,0.812886824430356,0.13438949218972437,4,0.7384230287859824,0.7330827067669173,0.81419624217119,0.7839195979899497,0.8581016299137104,0.78554464112555,0.047033546614743585,1,0.7262569832402235,0.7225064339966104,0.8292636997049777,0.8009227292699768,0.8960674157303371,0.7950034523884251,0.06542877313142118,1,0.6722472517570732,0.6670263756100483,0.7627482453655621,0.7308733549285635,0.8287037037037037,0.7323197862729901,0.06014945004709298,3,0.7262569832402235,0.7225064339966104,0.8292636997049778,0.8009227292699768,0.8960674157303371,0.7950034523884251,0.06542877313142119,1
8,5.5180895805358885,0.06421043283322488,0.10627036094665528,0.03106525745921003,dart,0.05,"{'booster': 'dart', 'learning_rate': 0.05}",0.7262569832402235,0.7226890756302521,0.8291316526610645,0.8011204481792717,0.896358543417367,0.7951113406256357,0.06546815115114937,1,0.6995073891625616,0.698019801980198,0.8641975308641975,0.8496732026143791,1.0,0.8222795849242672,0.11367108350510559,4,0.7612903225806451,0.7548387096774194,0.8,0.7647058823529411,0.8287037037037037,0.7819077236629419,0.02818122176564745,3,0.7932960893854749,0.7877094972067039,0.7821229050279329,0.7303370786516854,0.7921348314606742,0.7771200803464943,0.02371885018823191,3,0.659217877094972,0.6573033707865169,0.8764044943820225,0.8715083798882681,1.0,0.812886824430356,0.13438949218972437,4,0.7384230287859824,0.7330827067669173,0.81419624217119,0.7839195979899497,0.8581016299137104,0.78554464112555,0.047033546614743585,1,0.7262569832402235,0.7225064339966104,0.8292636997049777,0.8009227292699768,0.8960674157303371,0.7950034523884251,0.06542877313142118,1,0.6722472517570732,0.6670263756100483,0.7627482453655621,0.7308733549285635,0.8287037037037037,0.7323197862729901,0.06014945004709298,3,0.7262569832402235,0.7225064339966104,0.8292636997049778,0.8009227292699768,0.8960674157303371,0.7950034523884251,0.06542877313142119,1
3,0.20287399291992186,0.041218432957846766,0.04026212692260742,0.002509080070271268,gblinear,0.1,"{'booster': 'gblinear', 'learning_rate': 0.1}",0.6983240223463687,0.7030812324929971,0.7310924369747899,0.7226890756302521,0.8487394957983193,0.7407852526485454,0.05531742967106804,6,0.678391959798995,0.681592039800995,0.7044334975369458,0.7068062827225131,0.9558823529411765,0.7454212265601251,0.10586036200628358,9,0.7232704402515723,0.7307692307692307,0.7662337662337663,0.7409638554216867,0.7828054298642534,0.7488085445081019,0.022354316460841277,5,0.7541899441340782,0.7653631284916201,0.7988826815642458,0.7584269662921348,0.7303370786516854,0.7614399598267528,0.022119578379609168,5,0.6424581005586593,0.6404494382022472,0.6629213483146067,0.6871508379888268,0.9664804469273743,0.7198920343983428,0.12444326450959918,9,0.7055214723926381,0.7107231920199502,0.743073047858942,0.7295373665480427,0.8137347130761995,0.7405179583791546,0.038987888327998675,5,0.6983240223463687,0.7029062833469337,0.7309020149394263,0.7227889021404807,0.8484087627895298,0.7406659971125479,0.05521244105996989,6,0.6434419029549208,0.6472924519851155,0.6760199483266238,0.6660166792704831,0.7733728644014546,0.6812287693877195,0.04759956861599089,5,0.6983240223463687,0.7029062833469337,0.7309020149394263,0.7227889021404807,0.8484087627895298,0.7406659971125479,0.05521244105996989,6
5,0.3576984882354736,0.024177549489479564,0.042361783981323245,0.004609382924778772,gblinear,0.05,"{'booster': 'gblinear', 'learning_rate': 0.05}",0.7011173184357542,0.7030812324929971,0.7535014005602241,0.7170868347338936,0.84593837535014,0.7441450323146019,0.0542571510251762,5,0.6935483870967742,0.6910994764397905,0.7433155080213903,0.7150837988826816,0.9694656488549618,0.7625025638591196,0.10516984389129054,8,0.7093023255813954,0.7168674698795181,0.7647058823529411,0.7191011235955056,0.7743362831858407,0.7368626169190401,0.02703467884894561,6,0.7206703910614525,0.7374301675977654,0.776536312849162,0.7191011235955056,0.7134831460674157,0.7334442282342603,0.022978928770221577,6,0.6815642458100558,0.6685393258426966,0.7303370786516854,0.7150837988826816,0.9776536312849162,0.7546356160944072,0.11370470229190947,8,0.7035755478662054,0.7066508313539193,0.7575757575757576,0.7182940516273849,0.8079409048938134,0.7388074186634161,0.03956720490081811,6,0.7011173184357542,0.702984746720231,0.7534366957504237,0.7170924612390936,0.845568388676166,0.7440399221643337,0.0541301613852694,5,0.6426529816811746,0.6445202014743897,0.6929468416580115,0.6570747060986217,0.7682371608850194,0.6810863783594433,0.04717351197749904,6,0.7011173184357541,0.702984746720231,0.7534366957504237,0.7170924612390936,0.845568388676166,0.7440399221643337,0.05413016138526942,5
1,0.7829165458679199,0.2460405706141191,0.048567676544189455,0.005781124125632714,gbtree,0.01,"{'booster': 'gbtree', 'learning_rate': 0.01}",0.6787709497206704,0.6694677871148459,0.7675070028011205,0.7366946778711485,0.7591036414565826,0.7223088117928735,0.04072200492623985,7,0.7711864406779662,0.6967741935483871,0.8934426229508197,0.8818181818181818,1.0,0.848644287799071,0.10495731827839172,2,0.6333333333333333,0.6485148514851485,0.7021276595744681,0.6720647773279352,0.6754716981132075,0.6663024639668186,0.02368158137859564,7,0.5083798882681564,0.6033519553072626,0.6089385474860335,0.5449438202247191,0.5168539325842697,0.5564936287740883,0.04234573858421288,7,0.8491620111731844,0.7359550561797753,0.9269662921348315,0.9273743016759777,1.0,0.8878915322327539,0.08970920024872858,2,0.6672519754170325,0.6643002028397565,0.7379248658318426,0.7112253641816624,0.7223567393058918,0.7006118295152373,0.029695673073215266,7,0.6787709497206704,0.6696535057435189,0.7679524198104325,0.7361590609503483,0.7584269662921348,0.7221925805034209,0.04061464903067207,7,0.6132216014897579,0.6089304450225969,0.6872632390273824,0.6596701693818459,0.6754716981132075,0.6489114306069582,0.03213814739482842,7,0.6787709497206704,0.6696535057435189,0.7679524198104326,0.7361590609503484,0.7584269662921348,0.722192580503421,0.0406146490306721,7
7,6.612629365921021,0.7502216339228315,0.1222076416015625,0.011186108150518804,dart,0.01,"{'booster': 'dart', 'learning_rate': 0.01}",0.6787709497206704,0.6694677871148459,0.7675070028011205,0.7366946778711485,0.7591036414565826,0.7223088117928735,0.04072200492623985,7,0.7711864406779662,0.6967741935483871,0.8934426229508197,0.8818181818181818,1.0,0.848644287799071,0.10495731827839172,2,0.6333333333333333,0.6485148514851485,0.7021276595744681,0.6720647773279352,0.6754716981132075,0.6663024639668186,0.02368158137859564,7,0.5083798882681564,0.6033519553072626,0.6089385474860335,0.5449438202247191,0.5168539325842697,0.5564936287740883,0.04234573858421288,7,0.8491620111731844,0.7359550561797753,0.9269662921348315,0.9273743016759777,1.0,0.8878915322327539,0.08970920024872858,2,0.6672519754170325,0.6643002028397565,0.7379248658318426,0.7112253641816624,0.7223567393058918,0.7006118295152373,0.029695673073215266,7,0.6787709497206704,0.6696535057435189,0.7679524198104325,0.7361590609503483,0.7584269662921348,0.7221925805034209,0.04061464903067207,7,0.6132216014897579,0.6089304450225969,0.6872632390273824,0.6596701693818459,0.6754716981132075,0.6489114306069582,0.03213814739482842,7,0.6787709497206704,0.6696535057435189,0.7679524198104326,0.7361590609503484,0.7584269662921348,0.722192580503421,0.0406146490306721,7
4,0.2723850250244141,0.016746201160218164,0.04354181289672852,0.003967201398231259,gblinear,0.01,"{'booster': 'gblinear', 'learning_rate': 0.01}",0.6424581005586593,0.6386554621848739,0.6778711484593838,0.6890756302521008,0.6722689075630253,0.6640658498036085,0.01997973058891542,9,0.8591549295774648,0.8205128205128205,0.9444444444444444,0.958904109589041,1.0,0.9166032608247541,0.06641263870533672,1,0.5888501742160279,0.5878136200716846,0.6105263157894737,0.6197183098591549,0.6047297297297297,0.6023276299332142,0.012391308053291724,9,0.3407821229050279,0.3575418994413408,0.37988826815642457,0.39325842696629215,0.34269662921348315,0.3628334693365137,0.02067026429970764,9,0.9441340782122905,0.9213483146067416,0.9775280898876404,0.9832402234636871,1.0,0.9652501412340719,0.028478771970630846,1,0.6367746797287114,0.633693972179289,0.6600910470409712,0.6692015209125475,0.6566397652237711,0.6512801970170581,0.013763831120152765,9,0.6424581005586592,0.6394451070240412,0.6787081790220325,0.6882493252149896,0.6713483146067416,0.6640418052852928,0.01962317758813989,9,0.5838864773324509,0.5807967744304439,0.6080111050925397,0.6177353308149918,0.6047297297297297,0.5990318834800312,0.014316517343885643,9,0.6424581005586592,0.6394451070240412,0.6787081790220325,0.6882493252149896,0.6713483146067416,0.6640418052852928,0.01962317758813989,9
