,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score,split0_test_precision_0,split1_test_precision_0,split2_test_precision_0,split3_test_precision_0,split4_test_precision_0,mean_test_precision_0,std_test_precision_0,rank_test_precision_0,split0_test_precision_1,split1_test_precision_1,split2_test_precision_1,split3_test_precision_1,split4_test_precision_1,mean_test_precision_1,std_test_precision_1,rank_test_precision_1,split0_test_recall_0,split1_test_recall_0,split2_test_recall_0,split3_test_recall_0,split4_test_recall_0,mean_test_recall_0,std_test_recall_0,rank_test_recall_0,split0_test_recall_1,split1_test_recall_1,split2_test_recall_1,split3_test_recall_1,split4_test_recall_1,mean_test_recall_1,std_test_recall_1,rank_test_recall_1,split0_test_fbeta_score,split1_test_fbeta_score,split2_test_fbeta_score,split3_test_fbeta_score,split4_test_fbeta_score,mean_test_fbeta_score,std_test_fbeta_score,rank_test_fbeta_score,split0_test_balanced_accuracy_score,split1_test_balanced_accuracy_score,split2_test_balanced_accuracy_score,split3_test_balanced_accuracy_score,split4_test_balanced_accuracy_score,mean_test_balanced_accuracy_score,std_test_balanced_accuracy_score,rank_test_balanced_accuracy_score,split0_test_average_precision_score,split1_test_average_precision_score,split2_test_average_precision_score,split3_test_average_precision_score,split4_test_average_precision_score,mean_test_average_precision_score,std_test_average_precision_score,rank_test_average_precision_score,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
186,0.012377786636352538,0.004951064148333663,0.04238791465759277,0.006370414343165237,gini,4,9,2,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 9, 'min_samples_split': 2, 'splitter': 'best'}",0.7011173184357542,0.6890756302521008,0.8431372549019608,0.7927170868347339,0.9019607843137255,0.785601614947655,0.08167655499498779,1,0.6578947368421053,0.6588785046728972,0.8253968253968254,0.8291139240506329,0.9554140127388535,0.785339600740263,0.11373713588596547,241,0.7769230769230769,0.7342657342657343,0.8630952380952381,0.7638190954773869,0.86,0.7996206289522871,0.05242687360644597,1,0.8379888268156425,0.7877094972067039,0.8715083798882681,0.7359550561797753,0.8426966292134831,0.8151716778607746,0.047919753224655845,1,0.5642458100558659,0.5898876404494382,0.8146067415730337,0.8491620111731844,0.9608938547486033,0.7557592116000251,0.15392082228126316,415,0.7224606580829757,0.7,0.8529411764705882,0.7794871794871795,0.8784473953013279,0.7866672818684142,0.07000154352882168,1,0.7011173184357542,0.6887985688280711,0.843057560730651,0.7925585336764798,0.9017952419810432,0.7854654447303998,0.08168093629567783,1,0.6562526858616244,0.6376160741659751,0.7955201743618796,0.7242364113889008,0.8459765582210538,0.7319203807998867,0.07966390781519392,1,0.7011173184357543,0.688798568828071,0.8430575607306509,0.7925585336764799,0.9017952419810433,0.7854654447303998,0.08168093629567784,1
188,0.009506940841674805,0.004208823925849475,0.04348883628845215,0.010287958036739257,gini,4,9,3,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 9, 'min_samples_split': 3, 'splitter': 'best'}",0.7011173184357542,0.6890756302521008,0.8431372549019608,0.7927170868347339,0.9019607843137255,0.785601614947655,0.08167655499498779,1,0.6578947368421053,0.6588785046728972,0.8253968253968254,0.8291139240506329,0.9554140127388535,0.785339600740263,0.11373713588596547,241,0.7769230769230769,0.7342657342657343,0.8630952380952381,0.7638190954773869,0.86,0.7996206289522871,0.05242687360644597,1,0.8379888268156425,0.7877094972067039,0.8715083798882681,0.7359550561797753,0.8426966292134831,0.8151716778607746,0.047919753224655845,1,0.5642458100558659,0.5898876404494382,0.8146067415730337,0.8491620111731844,0.9608938547486033,0.7557592116000251,0.15392082228126316,415,0.7224606580829757,0.7,0.8529411764705882,0.7794871794871795,0.8784473953013279,0.7866672818684142,0.07000154352882168,1,0.7011173184357542,0.6887985688280711,0.843057560730651,0.7925585336764798,0.9017952419810432,0.7854654447303998,0.08168093629567783,1,0.6562526858616244,0.6376160741659751,0.7955201743618796,0.7242364113889008,0.8459765582210538,0.7319203807998867,0.07966390781519392,1,0.7011173184357543,0.688798568828071,0.8430575607306509,0.7925585336764799,0.9017952419810433,0.7854654447303998,0.08168093629567784,1
190,0.009191942214965821,0.004369991199591837,0.03601140975952148,0.004752071954642426,gini,4,9,4,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 9, 'min_samples_split': 4, 'splitter': 'best'}",0.7011173184357542,0.6890756302521008,0.8431372549019608,0.7927170868347339,0.9019607843137255,0.785601614947655,0.08167655499498779,1,0.6578947368421053,0.6588785046728972,0.8253968253968254,0.8291139240506329,0.9554140127388535,0.785339600740263,0.11373713588596547,241,0.7769230769230769,0.7342657342657343,0.8630952380952381,0.7638190954773869,0.86,0.7996206289522871,0.05242687360644597,1,0.8379888268156425,0.7877094972067039,0.8715083798882681,0.7359550561797753,0.8426966292134831,0.8151716778607746,0.047919753224655845,1,0.5642458100558659,0.5898876404494382,0.8146067415730337,0.8491620111731844,0.9608938547486033,0.7557592116000251,0.15392082228126316,415,0.7224606580829757,0.7,0.8529411764705882,0.7794871794871795,0.8784473953013279,0.7866672818684142,0.07000154352882168,1,0.7011173184357542,0.6887985688280711,0.843057560730651,0.7925585336764798,0.9017952419810432,0.7854654447303998,0.08168093629567783,1,0.6562526858616244,0.6376160741659751,0.7955201743618796,0.7242364113889008,0.8459765582210538,0.7319203807998867,0.07966390781519392,1,0.7011173184357543,0.688798568828071,0.8430575607306509,0.7925585336764799,0.9017952419810433,0.7854654447303998,0.08168093629567784,1
168,0.010349225997924805,0.0018903172136543669,0.036364269256591794,0.004042926384768951,gini,4,6,2,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 6, 'min_samples_split': 2, 'splitter': 'best'}",0.7011173184357542,0.680672268907563,0.8431372549019608,0.7927170868347339,0.9019607843137255,0.7839209426787475,0.08370672233676811,7,0.6578947368421053,0.6540284360189573,0.8253968253968254,0.8291139240506329,0.9554140127388535,0.7843695870094749,0.11482699066546126,274,0.7769230769230769,0.7191780821917808,0.8630952380952381,0.7638190954773869,0.86,0.7966030985374964,0.05638634409417976,4,0.8379888268156425,0.770949720670391,0.8715083798882681,0.7359550561797753,0.8426966292134831,0.811819722553512,0.05025285236704768,4,0.5642458100558659,0.5898876404494382,0.8146067415730337,0.8491620111731844,0.9608938547486033,0.7557592116000251,0.15392082228126316,415,0.7224606580829757,0.6889763779527559,0.8529411764705882,0.7794871794871795,0.8784473953013279,0.7844625574589654,0.07281355834578984,4,0.7011173184357542,0.6804186805599146,0.843057560730651,0.7925585336764798,0.9017952419810432,0.7837894670767686,0.0837080283260678,7,0.6562526858616244,0.6287160546841486,0.7955201743618796,0.7242364113889008,0.8459765582210538,0.7301403769035215,0.0818213659772116,4,0.7011173184357543,0.6804186805599146,0.8430575607306509,0.7925585336764799,0.9017952419810433,0.7837894670767686,0.08370802832606782,7
166,0.008290576934814452,0.005031961313775233,0.03861746788024902,0.005096448336873595,gini,4,5,4,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 4, 'splitter': 'best'}",0.7011173184357542,0.680672268907563,0.8431372549019608,0.7927170868347339,0.9019607843137255,0.7839209426787475,0.08370672233676811,7,0.6578947368421053,0.6540284360189573,0.8253968253968254,0.8291139240506329,0.9554140127388535,0.7843695870094749,0.11482699066546126,274,0.7769230769230769,0.7191780821917808,0.8630952380952381,0.7638190954773869,0.86,0.7966030985374964,0.05638634409417976,4,0.8379888268156425,0.770949720670391,0.8715083798882681,0.7359550561797753,0.8426966292134831,0.811819722553512,0.05025285236704768,4,0.5642458100558659,0.5898876404494382,0.8146067415730337,0.8491620111731844,0.9608938547486033,0.7557592116000251,0.15392082228126316,415,0.7224606580829757,0.6889763779527559,0.8529411764705882,0.7794871794871795,0.8784473953013279,0.7844625574589654,0.07281355834578984,4,0.7011173184357542,0.6804186805599146,0.843057560730651,0.7925585336764798,0.9017952419810432,0.7837894670767686,0.0837080283260678,7,0.6562526858616244,0.6287160546841486,0.7955201743618796,0.7242364113889008,0.8459765582210538,0.7301403769035215,0.0818213659772116,4,0.7011173184357543,0.6804186805599146,0.8430575607306509,0.7925585336764799,0.9017952419810433,0.7837894670767686,0.08370802832606782,7
174,0.014471292495727539,0.004662545060294217,0.03711886405944824,0.0037309320862181127,gini,4,7,2,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 2, 'splitter': 'best'}",0.7011173184357542,0.680672268907563,0.8431372549019608,0.7927170868347339,0.9019607843137255,0.7839209426787475,0.08370672233676811,7,0.6578947368421053,0.6540284360189573,0.8253968253968254,0.8291139240506329,0.9554140127388535,0.7843695870094749,0.11482699066546126,274,0.7769230769230769,0.7191780821917808,0.8630952380952381,0.7638190954773869,0.86,0.7966030985374964,0.05638634409417976,4,0.8379888268156425,0.770949720670391,0.8715083798882681,0.7359550561797753,0.8426966292134831,0.811819722553512,0.05025285236704768,4,0.5642458100558659,0.5898876404494382,0.8146067415730337,0.8491620111731844,0.9608938547486033,0.7557592116000251,0.15392082228126316,415,0.7224606580829757,0.6889763779527559,0.8529411764705882,0.7794871794871795,0.8784473953013279,0.7844625574589654,0.07281355834578984,4,0.7011173184357542,0.6804186805599146,0.843057560730651,0.7925585336764798,0.9017952419810432,0.7837894670767686,0.0837080283260678,7,0.6562526858616244,0.6287160546841486,0.7955201743618796,0.7242364113889008,0.8459765582210538,0.7301403769035215,0.0818213659772116,4,0.7011173184357543,0.6804186805599146,0.8430575607306509,0.7925585336764799,0.9017952419810433,0.7837894670767686,0.08370802832606782,7
164,0.010997152328491211,0.0025935580065774033,0.03573398590087891,0.003440253781506595,gini,4,5,3,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 3, 'splitter': 'best'}",0.7011173184357542,0.680672268907563,0.8431372549019608,0.7927170868347339,0.9019607843137255,0.7839209426787475,0.08370672233676811,7,0.6578947368421053,0.6540284360189573,0.8253968253968254,0.8291139240506329,0.9554140127388535,0.7843695870094749,0.11482699066546126,274,0.7769230769230769,0.7191780821917808,0.8630952380952381,0.7638190954773869,0.86,0.7966030985374964,0.05638634409417976,4,0.8379888268156425,0.770949720670391,0.8715083798882681,0.7359550561797753,0.8426966292134831,0.811819722553512,0.05025285236704768,4,0.5642458100558659,0.5898876404494382,0.8146067415730337,0.8491620111731844,0.9608938547486033,0.7557592116000251,0.15392082228126316,415,0.7224606580829757,0.6889763779527559,0.8529411764705882,0.7794871794871795,0.8784473953013279,0.7844625574589654,0.07281355834578984,4,0.7011173184357542,0.6804186805599146,0.843057560730651,0.7925585336764798,0.9017952419810432,0.7837894670767686,0.0837080283260678,7,0.6562526858616244,0.6287160546841486,0.7955201743618796,0.7242364113889008,0.8459765582210538,0.7301403769035215,0.0818213659772116,4,0.7011173184357543,0.6804186805599146,0.8430575607306509,0.7925585336764799,0.9017952419810433,0.7837894670767686,0.08370802832606782,7
162,0.01230158805847168,0.0025399786048062017,0.0371819019317627,0.0023857329755804005,gini,4,5,2,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 2, 'splitter': 'best'}",0.7011173184357542,0.680672268907563,0.8431372549019608,0.7927170868347339,0.9019607843137255,0.7839209426787475,0.08370672233676811,7,0.6578947368421053,0.6540284360189573,0.8253968253968254,0.8291139240506329,0.9554140127388535,0.7843695870094749,0.11482699066546126,274,0.7769230769230769,0.7191780821917808,0.8630952380952381,0.7638190954773869,0.86,0.7966030985374964,0.05638634409417976,4,0.8379888268156425,0.770949720670391,0.8715083798882681,0.7359550561797753,0.8426966292134831,0.811819722553512,0.05025285236704768,4,0.5642458100558659,0.5898876404494382,0.8146067415730337,0.8491620111731844,0.9608938547486033,0.7557592116000251,0.15392082228126316,415,0.7224606580829757,0.6889763779527559,0.8529411764705882,0.7794871794871795,0.8784473953013279,0.7844625574589654,0.07281355834578984,4,0.7011173184357542,0.6804186805599146,0.843057560730651,0.7925585336764798,0.9017952419810432,0.7837894670767686,0.0837080283260678,7,0.6562526858616244,0.6287160546841486,0.7955201743618796,0.7242364113889008,0.8459765582210538,0.7301403769035215,0.0818213659772116,4,0.7011173184357543,0.6804186805599146,0.8430575607306509,0.7925585336764799,0.9017952419810433,0.7837894670767686,0.08370802832606782,7
176,0.008791589736938476,0.006461624617804253,0.03856954574584961,0.006904652843960301,gini,4,7,3,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 3, 'splitter': 'best'}",0.7011173184357542,0.680672268907563,0.8431372549019608,0.7927170868347339,0.9019607843137255,0.7839209426787475,0.08370672233676811,7,0.6578947368421053,0.6540284360189573,0.8253968253968254,0.8291139240506329,0.9554140127388535,0.7843695870094749,0.11482699066546126,274,0.7769230769230769,0.7191780821917808,0.8630952380952381,0.7638190954773869,0.86,0.7966030985374964,0.05638634409417976,4,0.8379888268156425,0.770949720670391,0.8715083798882681,0.7359550561797753,0.8426966292134831,0.811819722553512,0.05025285236704768,4,0.5642458100558659,0.5898876404494382,0.8146067415730337,0.8491620111731844,0.9608938547486033,0.7557592116000251,0.15392082228126316,415,0.7224606580829757,0.6889763779527559,0.8529411764705882,0.7794871794871795,0.8784473953013279,0.7844625574589654,0.07281355834578984,4,0.7011173184357542,0.6804186805599146,0.843057560730651,0.7925585336764798,0.9017952419810432,0.7837894670767686,0.0837080283260678,7,0.6562526858616244,0.6287160546841486,0.7955201743618796,0.7242364113889008,0.8459765582210538,0.7301403769035215,0.0818213659772116,4,0.7011173184357543,0.6804186805599146,0.8430575607306509,0.7925585336764799,0.9017952419810433,0.7837894670767686,0.08370802832606782,7
170,0.009937286376953125,0.003541343354656647,0.037969541549682614,0.009310058073386697,gini,4,6,3,best,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 6, 'min_samples_split': 3, 'splitter': 'best'}",0.7011173184357542,0.680672268907563,0.8431372549019608,0.7927170868347339,0.9019607843137255,0.7839209426787475,0.08370672233676811,7,0.6578947368421053,0.6540284360189573,0.8253968253968254,0.8291139240506329,0.9554140127388535,0.7843695870094749,0.11482699066546126,274,0.7769230769230769,0.7191780821917808,0.8630952380952381,0.7638190954773869,0.86,0.7966030985374964,0.05638634409417976,4,0.8379888268156425,0.770949720670391,0.8715083798882681,0.7359550561797753,0.8426966292134831,0.811819722553512,0.05025285236704768,4,0.5642458100558659,0.5898876404494382,0.8146067415730337,0.8491620111731844,0.9608938547486033,0.7557592116000251,0.15392082228126316,415,0.7224606580829757,0.6889763779527559,0.8529411764705882,0.7794871794871795,0.8784473953013279,0.7844625574589654,0.07281355834578984,4,0.7011173184357542,0.6804186805599146,0.843057560730651,0.7925585336764798,0.9017952419810432,0.7837894670767686,0.0837080283260678,7,0.6562526858616244,0.6287160546841486,0.7955201743618796,0.7242364113889008,0.8459765582210538,0.7301403769035215,0.0818213659772116,4,0.7011173184357543,0.6804186805599146,0.8430575607306509,0.7925585336764799,0.9017952419810433,0.7837894670767686,0.08370802832606782,7
