,cascade_root_id,category,depth,size,max_breadth,virality,strongly_cc,weakly_cc,size_of_scc,avg_cluster_coef,density,layer_ratio,structural_heterogeneity,characteristic_distance,veracity
1423,1282708662134493185,non_covid_false,1.0,225.0,225.0,0.0044444444444444444,225.0,1.0,225.0,0.0,0.0044444444444444444,1.0,7.516722428786936,249.99996561413835,0.0
1424,1276689802260369414,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1425,1267474087443673089,non_covid_false,1.0,42.0,42.0,0.023809523809523808,42.0,1.0,42.0,0.0,0.023809523809523808,1.0,3.2796489996607274,41.66466624154199,0.0
1426,1264321528914759681,non_covid_false,2.0,110.0,98.0,0.011092577147623019,110.0,1.0,110.0,0.0,0.00909090909090909,1.1224489795918366,4.716792052021689,0.9032577895851566,0.0
1427,1224898535533043712,non_covid_false,1.0,268.0,268.0,0.0037313432835820895,268.0,1.0,268.0,0.0,0.0037313432835820895,1.0,8.2006668222522,249.99996561413835,0.0
1428,1224900442641063937,non_covid_false,3.0,282.0,98.0,0.011950733197041973,282.0,1.0,282.0,0.0,0.0035460992907801418,2.088888888888889,4.85997363435748,2.7259965318821524,0.0
1429,1224897176578543617,non_covid_false,2.0,109.0,101.0,0.010533469249065579,109.0,1.0,109.0,0.0,0.009174311926605505,1.0792079207920793,4.872469094355121,0.7567986383970505,0.0
1430,1257450725791223810,non_covid_false,1.0,5.0,5.0,0.2,5.0,1.0,5.0,0.0,0.2,1.0,1.25,4.445556177931239,0.0
1431,1273829573441044482,non_covid_false,1.0,193.0,193.0,0.0051813471502590676,193.0,1.0,193.0,0.0,0.0051813471502590676,1.0,6.96428762209986,249.99996561413835,0.0
1432,1280638316002652163,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1433,1238198823673106434,non_covid_false,0.0,1.0,1.0,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-99999.0,0.0
1434,1288961438598467587,non_covid_false,1.0,49.0,49.0,0.02040816326530612,49.0,1.0,49.0,0.0,0.02040816326530612,1.0,3.5362703987864577,49.99833334827604,0.0
1435,1288961867935821824,non_covid_false,1.0,21.0,21.0,0.047619047619047616,21.0,1.0,21.0,0.0,0.047619047619047616,1.0,2.3478713763747794,20.829332603756086,0.0
1436,1288959557503537152,non_covid_false,1.0,7.0,7.0,0.14285714285714285,7.0,1.0,7.0,0.0,0.14285714285714285,1.0,1.4288690166235205,6.566261104483427,0.0
1437,1275888535854350336,non_covid_false,2.0,110.0,98.0,0.011092577147623019,110.0,1.0,110.0,0.0,0.00909090909090909,1.1224489795918366,4.707950822033041,0.9032577895851566,0.0
1438,1225049820513099776,non_covid_false,1.0,10.0,10.0,0.1,10.0,1.0,10.0,0.0,0.1,1.0,1.6666666666666665,9.606711778092896,0.0
1439,1287039808850862080,non_covid_false,1.0,189.0,189.0,0.005291005291005291,189.0,1.0,189.0,0.0,0.005291005291005291,1.0,6.892120848275518,249.99996561413835,0.0
1440,1273805671092219904,non_covid_false,1.0,123.0,123.0,0.008130081300813009,123.0,1.0,123.0,0.0,0.008130081300813009,1.0,5.56794838161489,124.99934636386527,0.0
1441,1273769628221595648,non_covid_false,1.0,60.0,60.0,0.016666666666666666,60.0,1.0,60.0,0.0,0.016666666666666666,1.0,3.905667329424716,62.49833360035602,0.0
1442,1265785799154507777,non_covid_false,1.0,69.0,69.0,0.014492753623188406,69.0,1.0,69.0,0.0,0.014492753623188406,1.0,4.183739531876744,62.49833360035602,0.0
1443,1282169913457573888,non_covid_false,1.0,54.0,54.0,0.018518518518518517,54.0,1.0,54.0,0.0,0.018518518518518517,1.0,3.7087352266146034,49.99833334827604,0.0
1444,1286037022260502528,non_covid_false,1.0,24.0,24.0,0.041666666666666664,24.0,1.0,24.0,0.0,0.041666666666666664,1.0,2.502172968684897,22.72360560335461,0.0
1445,1288962134471131136,non_covid_false,1.0,49.0,49.0,0.02040816326530612,49.0,1.0,49.0,0.0,0.02040816326530612,1.0,3.5362703987864577,49.99833334827604,0.0
